;NRMSE;Calibration Error;Posterior Contraction
$v$;0.12317608256985065;0.07078947368421054;0.7413055076400673
$a$;0.1046177736172357;0.08236842105263156;0.8501647612639631
$z$;0.08416248164376887;0.09197368421052632;0.8765879275728543
$\tau$;0.10763155676598593;0.06644736842105264;0.8983929673217702
$s_v$;0.25737505163037216;0.07394736842105268;0.0
$s_\tau$;0.0825474486221226;0.04723684210526316;0.8348396087657322
$u_{1, v}$;0.17683911877670971;0.07631578947368417;0.5092297487217126
$u_{1, a}$;0.08733496176662447;0.048026315789473695;0.9065225408544105
$u_{1, z}$;0.11498400743864107;0.057236842105263114;0.8526407909462124
$u_{1, \tau}$;0.06572146199316334;0.10394736842105262;0.9595752713828303
$u_{1, s_v}$;0.2655638503708838;0.05539473684210522;0.0
$u_{2, v}$;0.12493609695887559;0.04671052631578948;0.758219080139692
$u_{2, a}$;0.09198518104946729;0.05855263157894741;0.9290723231888989
$u_{2, z}$;0.08902811905872463;0.0667105263157895;0.886591883532798
$u_{2, \tau}$;0.07328249584256027;0.0814473684210526;0.9625269295844066
$u_1:u_{2, v}$;0.20298464716460327;0.10802631578947368;0.2715846201389553
$u_1:u_{2, a}$;0.11471564954995561;0.03315789473684211;0.7902160111414005
$u_1:u_{2, z}$;0.15899172988532653;0.032631578947368456;0.6807129014161911
