model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,intercept_only,BayesGPT_Family,$v$,0.398372229849381,-4.255319148935555,0.17212057788191953
DDM,intercept_only,BayesGPT_Family,$a$,-0.973631721758491,29.26829268292644,0.23362421476749928
DDM,intercept_only,BayesGPT_Family,$z$,1.8798731163056421,8.208955223880427,-0.09174303641979137
DDM,intercept_only,BayesGPT_Family,$\tau$,-1.6413958982343606,-43.44262295081976,-0.09565445958462619
DDM,intercept_only,BayesGPT_Family,$s_v$,-0.3872078856465048,-24.3243243243246,-0.6761941841263139
DDM,intercept_only,BayesGPT_Family,$s_\tau$,-0.8308965766750294,27.058823529411878,0.20733974252339354
DDM,intercept_only,BayesGPT_ModelClass,$v$,10.10399502722541,173.33333333333402,-2.2481543164276756
DDM,intercept_only,BayesGPT_ModelClass,$a$,9.834355551426567,76.72955974842799,-1.505827467121992
DDM,intercept_only,BayesGPT_ModelClass,$z$,9.293531623101225,77.24137931034527,-1.1953608032211274
DDM,intercept_only,BayesGPT_ModelClass,$\tau$,9.42770767919892,397.10144927536385,-1.3762051805287465
DDM,intercept_only,BayesGPT_ModelClass,$s_v$,4.603428745058033,7.142857142856945,-16.925416523463504
DDM,intercept_only,BayesGPT_ModelClass,$s_\tau$,6.838613700114322,188.8888888888879,-7.087522926551546
DDM,fixed,BayesGPT_Family,$v$,-26.336857309642834,23.333333333333442,5.12083033165775
DDM,fixed,BayesGPT_Family,$a$,-8.560676623680733,-8.064516129032203,0.7448972490650743
DDM,fixed,BayesGPT_Family,$z$,-8.10174299719941,-9.558823529411379,0.5128631447268104
DDM,fixed,BayesGPT_Family,$\tau$,-5.070075191583263,7.894736842104996,0.06123779568971387
DDM,fixed,BayesGPT_ModelClass,$v$,14.284628538856065,166.89189189189153,-2.5233184077819635
DDM,fixed,BayesGPT_ModelClass,$a$,12.00780331781351,-39.76608187134533,-0.739712989595953
DDM,fixed,BayesGPT_ModelClass,$z$,12.466438003860175,115.44715447154347,-1.685418817520048
DDM,fixed,BayesGPT_ModelClass,$\tau$,10.984868193101644,328.0487804878051,-2.1878723362998582
DDM,regressed,BayesGPT_Family,$v$,8.664258367460546,148.12030075188085,-2.614304790026642
DDM,regressed,BayesGPT_Family,$a$,13.657130182192617,-37.64705882352905,-1.2731360307308563
DDM,regressed,BayesGPT_Family,$z$,13.803986051190561,-48.87640449438199,-1.219958034046351
DDM,regressed,BayesGPT_Family,$\tau$,17.753750212057266,-67.31707317073173,-0.5083363762215788
DDM,regressed,BayesGPT_Family,$s_v$,4.711574734736662,-55.21235521235528,-9.459365794849228
DDM,regressed,BayesGPT_Family,$s_\tau$,18.009750729291408,-45.19230769230733,-2.0613080979992873
DDM,regressed,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,13.341853109897851,-3.846153846153826,-3.397308262738462
DDM,regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,13.244897554607121,19.69696969696883,-0.8520218851968254
DDM,regressed,BayesGPT_Family,$z$ -- $u_1$ | $c_{1}$,17.815360520668595,-67.3366834170857,-1.8717679928981252
