model,case,scenario,NRMSE_mean,NRMSE_std,Calibration Error_mean,Calibration Error_std,Posterior Contraction_mean,Posterior Contraction_std
DDM,intercept_only,BayesGPT_Family,2.817637443881695,11.095393244890683,29.812950999138376,76.87935872419858,0.2554906800866649,6.967436230448681
DDM,intercept_only,BayesGPT_ModelClass,6.198156692063148,21.519440930789184,27.592418106071637,51.71083000131444,-4.8644360400951125,9.55533259459325
DDM,fixed,BayesGPT_Family,5.556092055071907,23.51290540543747,112.21068431349441,129.16938623568015,2.6566676254405572,4.140011732228238
DDM,fixed,BayesGPT_ModelClass,2.3591828959892793,5.60300328567752,87.81082575857425,90.72132548198111,-2.51678877114544,1.4151918401523247
DDM,regressed,BayesGPT_Family,31.160159113155718,28.14101482408334,48.865649389740305,91.39928310089402,-6.119345383856465,14.922394377486937
DDM,regressed,BayesGPT_ModelClass,-6.159976732574124,18.351126596271673,59.80442997288858,85.32903799787256,4.950256620004588,17.46663414445632
DDM,fixed_regressed,BayesGPT_Family,19.19058981290454,22.45400441073007,48.067147731471486,101.66017408131448,-0.9081136273626743,0.9928743543776465
DDM,fixed_regressed,BayesGPT_ModelClass,2.956361515432884,33.03911028057892,65.07976746880483,103.29427664895762,-0.39205495629389175,3.6504418127775455
DDM,interaction,BayesGPT_Family,10.228434554719948,18.155242073299966,88.80842007614449,124.43585642902435,-4.410108053371052,7.602947786426373
DDM,interaction,BayesGPT_ModelClass,12.631377338133099,10.470487321977336,10.5594691443493,88.93329770022432,-2.7831955618154964,4.092917698621069
RDM,intercept_only,BayesGPT_Family,13.844049148741911,10.912354182415426,18.242220829422187,77.97678487793614,-18.23830487034952,18.850917780374424
RDM,intercept_only,BayesGPT_ModelClass,-0.09696407513622536,14.06861892961475,68.27823022261663,124.72227431525508,12.358454488296674,16.286586498514644
RDM,fixed,BayesGPT_Family,6.107711806598714,31.660652465120265,148.07033418120787,145.1109247564299,-7.801977848438223,11.039129703897746
RDM,fixed,BayesGPT_ModelClass,24.112987996408407,28.007678798571497,-14.149122142343423,90.11448350440833,5.306317550365633,14.770803411895736
RDM,regressed,BayesGPT_Family,24.95281993916611,20.632774303306498,-47.98233782011084,36.812882633200246,-5.919940584113935,4.182049119533972
RDM,regressed,BayesGPT_ModelClass,-21.220636053981156,32.78176030976655,21.614668238685027,141.780208177305,2.053276102917796,6.281731198978232
RDM,fixed_regressed,BayesGPT_Family,22.208937855268815,19.54251580468591,65.60096757623462,116.2522982856915,-3.129339438909277,4.416445017039382
RDM,fixed_regressed,BayesGPT_ModelClass,-16.071173233419344,18.74057112237188,-31.268078582964847,49.96841446273072,1.4415956016937501,3.005048703652786
RDM,interaction,BayesGPT_Family,52.609310590060346,32.861536520652194,48.217836610040045,110.520221715134,-31.061353826932404,22.15274382538289
RDM,interaction,BayesGPT_ModelClass,-24.07632440288522,12.610854828564463,49.31197822317844,69.53385432023249,41.715293670976735,61.3178359135203
CDM,intercept_only,BayesGPT_Family,9.331873673442582,15.739131361474875,-15.928393403691592,74.97449915097923,-0.5627527424307329,6.761400314543372
CDM,intercept_only,BayesGPT_ModelClass,-0.032752516517068495,20.215682849182176,205.92422459002296,253.62616207265222,-15.147134967055095,41.751875196696
CDM,fixed,BayesGPT_Family,17.486788425979604,12.198326131814717,87.7018209279436,119.5044638446009,-0.7835486494957016,1.192546307909117
CDM,fixed,BayesGPT_ModelClass,3.049591999519218,19.465989588083065,67.76852707041408,93.43183209250195,-0.715832020981081,0.6167076228690248
CDM,regressed,BayesGPT_Family,56.07439657041003,30.52103034690748,79.87394737293437,128.16604140939955,-13.438740836898038,29.301008228935395
CDM,regressed,BayesGPT_ModelClass,-16.17385737950801,27.39784471141317,92.22637333074309,167.9255775282003,335.75714775752505,945.6290873570994
CDM,fixed_regressed,BayesGPT_Family,47.79561508951699,20.786716383067887,104.51682264924047,75.7359074922842,-3.2850427208013326,2.1657500335797244
CDM,fixed_regressed,BayesGPT_ModelClass,-10.466786631731793,24.001994801714226,72.74432658018496,129.25193818545623,-0.5919617832704578,6.121731868236656
CDM,interaction,BayesGPT_Family,40.23446693879876,38.63556186322031,31.484513746060756,112.65584802405372,-17.66170263004503,24.817412937217288
CDM,interaction,BayesGPT_ModelClass,-11.249234924851692,21.693164534681692,96.9417218998205,167.04834206344114,inf,
