;NRMSE;Log Gamma;Calibration Error;Posterior Contraction
0;0.1594047853283418;0.8423695716199885;0.01592105263157889;0.6501372372261736
1;0.19743237738428376;-1.9464044194412549;0.00894736842105262;0.4376274853774806
2;0.07430831788336759;-19.73671160040431;0.0711842105263158;0.9051322811729257
3;inf;-inf;0.35776315789473684;0.0
4;inf;-inf;0.1613157894736842;0.0
5;0.2411413733207327;1.2433283468588023;0.016184210526315745;0.0
6;0.28645531618272996;-0.15683364607612732;0.028421052631578958;0.0
7;inf;-inf;0.35526315789473684;0.0
8;inf;-inf;0.1543421052631579;0.0
9;inf;-inf;0.20394736842105263;0.0
10;0.2910096337993737;1.0264984882518757;0.012631578947368428;0.0
11;0.2509007073322499;0.463702306070928;0.03171052631578941;0.05884681369370487
12;inf;-inf;0.23947368421052634;0.0
13;inf;-inf;0.3957894736842105;0.0
14;inf;-inf;0.22644736842105262;0.0
15;inf;-inf;0.26355263157894737;0.0
16;inf;-inf;0.3877631578947368;0.0
17;inf;-inf;0.23947368421052634;0.0
18;inf;-inf;0.23947368421052634;0.0
19;inf;-inf;0.34368421052631576;0.0
