,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.07366093293015492,0.9256695098447287,0.011052631578947368,3.7885820857866133
$v_\theta$,0.10441645803723808,0.8240865588739742,0.015789473684210548,4.080712123934152
$a$,0.058120146195752106,0.9599258217869697,0.02657894736842105,-1.1132865017112534
$\tau$,0.055674953411825455,0.9615984842099548,0.05289473684210522,1.287368598736344
$s_v$,0.24991044605824275,0.027895039422662082,0.01565789473684212,1.7806328782808811
$s_\tau$,0.11175086922768077,0.8269519153347762,0.03144736842105267,0.9999109452506401
$v$ -- $u_1$ | $c_{1}$,0.09253125488294328,0.8988434273539623,0.015131578947368399,1.8675880690726487
$v_\theta$ -- $u_1$ | $c_{1}$,0.09092895199574029,0.8939450654382756,0.038157894736842085,-0.23653438239352953
$a$ -- $u_1$ | $c_{1}$,0.038887820754131705,0.9748436908355604,0.01723684210526316,2.699386490727609
$\tau$ -- $u_1$ | $c_{1}$,0.050835970548083434,0.9805591344330274,0.01960526315789475,0.9418160636408273
$s_v$ -- $u_1$ | $c_{1}$,0.18010250966447378,0.28622654996480046,0.016578947368421026,2.738973773597839
$s_\tau$ -- $u_1$ | $c_{1}$,0.11288296933760888,0.888267666121614,0.023157894736842058,2.1130381246325
$v$ -- $u_2$ | $c_{1}$,0.08669843524238005,0.9024586294593979,0.03210526315789472,-0.0344673860950757
$v_\theta$ -- $u_2$ | $c_{1}$,0.11041015857744194,0.9032168056080018,0.013684210526315799,2.1902220590785832
$a$ -- $u_2$ | $c_{1}$,0.051268219071210916,0.9741084082583968,0.014605263157894732,2.2180468489898124
$\tau$ -- $u_2$ | $c_{1}$,0.04593662870723708,0.9819539677210771,0.029736842105263145,-1.701973951806207
$s_v$ -- $u_2$ | $c_{1}$,0.23252126789946953,0.10606209010087103,0.060263157894736824,0.4640060303053336
$s_\tau$ -- $u_2$ | $c_{1}$,0.1238139202896043,0.8652630167241702,0.0164473684210526,2.5372658290345136
$v$ -- $u_1:u_2$ | $c_{1}$,0.12136230586909894,0.8002388306122962,0.019078947368421084,2.6742367512302305
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.12527340631961553,0.810384566344925,0.03381578947368422,2.1426297723346015
$a$ -- $u_1:u_2$ | $c_{1}$,0.07421775112251061,0.934004311795792,0.007368421052631583,3.486035121014883
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.06335895599351726,0.9703020209275146,0.014473684210526288,1.0906873969656432
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.2558752096913542,0.04543210027993405,0.023421052631578898,2.946860334995034
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.1398719919805055,0.7962147325478484,0.02026315789473679,3.1781836198768847
