,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.06566433166239796,0.9466734321700827,0.01842105263157892,1.576704076591768
$v_\theta$,0.1267996423864502,0.8320782023178115,0.0281578947368421,3.338881625764801
$a$,0.04967564037283845,0.9678127030848896,0.00934210526315793,0.8215253380206725
$\tau$,0.048741735299459694,0.973686849961549,0.021973684210526312,0.10082755960128521
$s_v$,0.2714348477447325,0.0,0.020394736842105243,0.5305328838543312
$s_\tau$,0.09603320587537097,0.9609619323502209,0.0298684210526316,1.1087712780286194
$v$ -- $u_1$ | $c_{1}$,0.09706071252051274,0.9016759495791027,0.012500000000000039,3.5605065734938375
$v_\theta$ -- $u_1$ | $c_{1}$,0.10117422518155107,0.9006053062915287,0.01894736842105263,3.905793970051259
$a$ -- $u_1$ | $c_{1}$,0.03653959178407415,0.9844585718979696,0.022763157894736825,-1.065148436663758
$\tau$ -- $u_1$ | $c_{1}$,0.03544383443639952,0.9921967948802087,0.0514473684210526,-1.5111499608749206
$s_v$ -- $u_1$ | $c_{1}$,0.1850330286664097,0.3745295618278489,0.01750000000000003,3.3541492753900775
$v$ -- $u_2$ | $c_{1}$,0.08490746661676964,0.9321236214606095,0.015394736842105253,1.757483319705572
$v_\theta$ -- $u_2$ | $c_{1}$,0.09792171805931749,0.9025722407781139,0.014868421052631572,3.114241398892925
$a$ -- $u_2$ | $c_{1}$,0.02825935190120455,0.9847797942663051,0.03592105263157895,1.304400082600611
$\tau$ -- $u_2$ | $c_{1}$,0.029808746264042695,0.9930853844279539,0.04999999999999999,0.22833487151779056
$v$ -- $u_1:u_2$ | $c_{1}$,0.13343151887243349,0.8584835284289112,0.011052631578947397,1.7483178219157405
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.11588634396605924,0.8022667491130264,0.03605263157894735,1.625615393979094
$a$ -- $u_1:u_2$ | $c_{1}$,0.05416615557370112,0.9718832322901482,0.026447368421052622,3.59401076629984
