,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.056282936228270325,0.9501705526930269,0.009473684210526329,4.193283356812163
$v_\theta$,0.06286057209860482,0.9640851910408711,0.016052631578947346,3.2749217219797724
$a$,0.0412008902483418,0.9776353343440036,0.009210526315789488,3.9839812482796932
$\tau$,0.030305546859854992,0.9941943327710738,0.024342105263157894,-12.516620712247953
$s_v$,0.2106147631111421,0.35113754064883207,0.01881578947368423,3.77559449494867
$s_\tau$,0.06006789004716959,0.9722801903140895,0.008157894736842045,-0.3312352745416661
$v$ -- $u_1$ | $c_{1}$,0.06310015752782186,0.9636211618058474,0.0135526315789474,4.082446996892467
$a$ -- $u_1$ | $c_{1}$,0.021267045440851867,0.9955112162966728,0.007105263157894753,4.526621938111396
$v$ -- $u_2$ | $c_{1}$,0.059470575260195155,0.9610431472919179,0.020789473684210524,3.283738930637153
$a$ -- $u_2$ | $c_{1}$,0.021131580663626776,0.995049513301631,0.012368421052631473,3.5123770387072697
