,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.1014719082853658,0.880508468186934,0.016842105263157894,4.527893072053987
$a$,0.07858149704111897,0.9335205509939417,0.02223684210526315,2.6897623081581754
$z$,0.057783897987832955,0.937693555191867,0.02381578947368418,-0.11639184246892578
$\tau$,0.06267520191696177,0.9628698438092297,0.018157894736842133,2.0492194890585056
$s_v$,0.191730487601765,0.38545595448658054,0.00842105263157894,2.831102640764904
$s_\tau$,0.13809872392817768,0.7992339825156157,0.017500000000000016,3.913507240037404
$v$ -- $u_1$ | $c_{1}$,0.13232408307095017,0.8116462589911749,0.02500000000000005,1.998204812399011
$a$ -- $u_1$ | $c_{1}$,0.057160276124217674,0.9632632660149986,0.01105263157894737,3.579238671511372
$z$ -- $u_1$ | $c_{1}$,0.07157880828873453,0.9410725852744224,0.01960526315789475,3.8974312400298152
$\tau$ -- $u_1$ | $c_{1}$,0.04702219912416469,0.9839757056735612,0.021447368421052604,2.5862587116473725
$s_v$ -- $u_1$ | $c_{1}$,0.20629977186141218,0.2665415113652106,0.015526315789473666,0.7664358544258727
$s_\tau$ -- $u_1$ | $c_{1}$,0.10440145235459791,0.9109919113227773,0.023947368421052606,2.807269889274213
$v$ -- $u_2$ | $c_{1}$,0.10742767556324054,0.8232735475712984,0.01710526315789475,3.5050460330614266
$a$ -- $u_2$ | $c_{1}$,0.05169514413941212,0.9647044255778594,0.017368421052631547,1.093867189099789
$z$ -- $u_2$ | $c_{1}$,0.06389136908784493,0.9410312758134645,0.01671052631578948,1.6220131669064028
$\tau$ -- $u_2$ | $c_{1}$,0.06753157115458609,0.9791679626435592,0.02526315789473682,1.464851674978015
$s_v$ -- $u_2$ | $c_{1}$,0.18888600602794142,0.27563392417602683,0.009078947368421061,2.3317129902055926
$s_\tau$ -- $u_2$ | $c_{1}$,0.10349167627031157,0.9113380095238646,0.009999999999999953,3.598079263060018
$v$ -- $u_1:u_2$ | $c_{1}$,0.13442358649924258,0.6431400796425532,0.04092105263157897,2.807269889274213
$a$ -- $u_1:u_2$ | $c_{1}$,0.09243718625359909,0.9142490246068202,0.011842105263157932,4.444663662362945
$z$ -- $u_1:u_2$ | $c_{1}$,0.07658177170116284,0.8967268703068436,0.018947368421052657,1.489993414605898
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.05036143233359379,0.9766058590922155,0.041842105263157875,2.5381686304144164
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.230816043777763,0.2548926113245395,0.02105263157894738,1.7894559877799576
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.13300358884776164,0.8700062213859318,0.023684210526315808,3.9790008876670746
