,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.10756944460768766,0.8908933320463606,0.02368421052631579,0.9917460430556867
$a$,0.06761602469145707,0.9581589955638574,0.018157894736842123,2.1526047409533944
$z$,0.0682214079022074,0.9621886581721313,0.03907894736842106,3.1593635213543485
$\tau$,0.053446533154622715,0.9676449154948927,0.016710526315789453,-2.3577871956918193
$s_v$,0.21002794614746195,0.3953027944399421,0.015921052631578947,3.703948708285131
$s_\tau$,0.06830071849380341,0.9721756892410258,0.012236842105263157,3.056998594655596
$v$ -- $u_1$ | $c_{1}$,0.11870016752854315,0.8253339195293348,0.011315789473684237,-0.43324937469345814
$a$ -- $u_1$ | $c_{1}$,0.06007616586656953,0.9776770945325834,0.009078947368421075,1.755865006841424
$z$ -- $u_1$ | $c_{1}$,0.08264873957632257,0.9486232648002273,0.010131578947368436,3.8770834482428604
$\tau$ -- $u_1$ | $c_{1}$,0.044929979991389465,0.9896560078557461,0.07605263157894734,-3.2871347962917383
$s_v$ -- $u_1$ | $c_{1}$,0.21200266734772677,0.294867017918586,0.014078947368421024,2.673173860080886
$v$ -- $u_2$ | $c_{1}$,0.11967017629927326,0.8766212416841166,0.013947368421052611,2.905581244748963
$a$ -- $u_2$ | $c_{1}$,0.05880238249303463,0.9781383657996796,0.01157894736842105,3.9557864845112363
$z$ -- $u_2$ | $c_{1}$,0.06364559507652895,0.9567645991845488,0.013552631578947375,1.9988463186329415
$\tau$ -- $u_2$ | $c_{1}$,0.041025769989132134,0.9909890751558741,0.035526315789473684,1.8346230323988255
$v$ -- $u_1:u_2$ | $c_{1}$,0.13152648305537523,0.7835727062407509,0.007894736842105288,3.630272140808685
$a$ -- $u_1:u_2$ | $c_{1}$,0.08707695485525183,0.9477120226508469,0.007631578947368434,3.085192593426408
$z$ -- $u_1:u_2$ | $c_{1}$,0.07313770930919614,0.927816339174111,0.013815789473684226,2.265273180558138
