,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09929452038488143,0.8891970240124423,0.01749999999999996
$a$,0.05440534801753644,0.9659809120984262,0.011184210526315796
$z$,0.05277064671591248,0.9746659848131387,0.02342105263157898
$\tau$,0.03334450343440154,0.9954821100828584,0.053947368421052605
$s_v$,0.22518738432560828,0.4176434761903421,0.03407894736842104
$s_\tau$,0.06430922784418078,0.9797593526047854,0.013684210526315743
$v$ -- $u_1$ | $c_{1}$,0.0868435835524958,0.9331310510726383,0.017105263157894762
$a$ -- $u_1$ | $c_{1}$,0.051835652946204736,0.9867948853759149,0.008684210526315808
$z$ -- $u_1$ | $c_{1}$,0.056792993780730994,0.9746897438341646,0.02618421052631581
$v$ -- $u_2$ | $c_{1}$,0.08838491319625218,0.9312462232037211,0.027105263157894688
$a$ -- $u_2$ | $c_{1}$,0.03527948006416031,0.9885803694779184,0.01210526315789473
$z$ -- $u_2$ | $c_{1}$,0.04596263901783311,0.976571591212563,0.010526315789473661
