,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.07940489790464299,0.8917009023821905,0.018815789473684216,3.561543262465499
$a$,0.04968171027913463,0.9737566422058233,0.008026315789473673,4.285788084661816
$z$,0.06510549406690044,0.9546449381986308,0.018684210526315803,0.9527244796823949
$\tau$,0.057073748468060445,0.9801615179296828,0.017894736842105297,2.5223672549517264
$v$ -- $u_1$ | $c_{1}$,0.09058239897851042,0.9188006414680869,0.012368421052631529,3.7998318582537225
$a$ -- $u_1$ | $c_{1}$,0.03611396823381899,0.9896718149129713,0.012105263157894758,3.9478348668355916
$z$ -- $u_1$ | $c_{1}$,0.05179156655858179,0.9703309093072612,0.013421052631578945,2.9495653535902018
$v$ -- $u_2$ | $c_{1}$,0.09627154089951849,0.9023294458211013,0.04302631578947369,2.6166117578408445
$a$ -- $u_2$ | $c_{1}$,0.0348745541379088,0.989147269345924,0.01578947368421052,3.139474406563541
$z$ -- $u_2$ | $c_{1}$,0.048634611347800866,0.9702532020984584,0.021710526315789402,0.7217984721880142
