,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.16886529751311452,0.42308779990384254,0.008421052631578996,4.47033101152967
$v_{\mathrm{diff}}$,0.17267207081585106,0.7040598044086961,0.024342105263157943,4.283300584461726
$a$,0.09943973778372053,0.8086918230275271,0.03250000000000003,-2.2292337010356857
$\tau$,0.06486746924615128,0.9579698956558298,0.026184210526315754,3.6372869653372075
$s_v$,0.2755247624221143,0.2449428266369253,0.016315789473684228,3.2631944341081205
$s_\tau$,0.1429461736201697,0.6393532367272834,0.011710526315789505,2.2066315869585402
$v$ -- $u_1$ | $c_{1}$,0.15901937722614895,0.691291347850958,0.023684210526315752,2.9043386510035507
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.12554563981778522,0.8059536543611165,0.011973684210526248,4.009757911818578
$a$ -- $u_1$ | $c_{1}$,0.08839063294730666,0.8994530574462227,0.008289473684210541,3.7214010024366737
$\tau$ -- $u_1$ | $c_{1}$,0.053930703405053876,0.9816153668584157,0.05210526315789471,2.667801406153518
$s_v$ -- $u_1$ | $c_{1}$,0.24447196785679182,0.3116806717347784,0.01789473684210524,1.7708238764448418
$s_\tau$ -- $u_1$ | $c_{1}$,0.13106904191367563,0.7777534686636621,0.03026315789473688,2.8261050274153243
$v$ -- $u_2$ | $c_{1}$,0.14528553040834236,0.7312006880541024,0.011052631578947397,4.00210466105013
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.13776641152571445,0.8043160333074595,0.030263157894736825,-0.049724955097520146
$a$ -- $u_2$ | $c_{1}$,0.08533155995099823,0.8993516137269701,0.01092105263157897,2.2204460492503128e-16
$\tau$ -- $u_2$ | $c_{1}$,0.045853820601360076,0.9837803473087792,0.012105263157894678,0.90417171095945
$s_v$ -- $u_2$ | $c_{1}$,0.19887048623072368,0.4493147103337042,0.008421052631578996,3.183139172998042
$s_\tau$ -- $u_2$ | $c_{1}$,0.14083740332350617,0.8151284887488865,0.028421052631578944,1.6188518256681308
$v$ -- $u_1:u_2$ | $c_{1}$,0.1733352963892904,0.5492620278334083,0.012894736842105264,4.423819317148481
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.13534750576861665,0.6463301315879222,0.03342105263157891,2.038708744489101
$a$ -- $u_1:u_2$ | $c_{1}$,0.10541170657518989,0.8555182520572775,0.02407894736842102,3.1307750699750314
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.06291118232503477,0.9723827185083241,0.014868421052631586,3.2631944341081205
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.19247789378592767,0.3876273214936297,0.0203947368421053,2.804705610672269
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.17754323468957073,0.674321977469049,0.0064473684210525906,1.7803199754130326
