,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.14910120302047353,0.5785259642627809,0.04578947368421055,-5.903494852889879
$v_{\mathrm{diff}}$,0.14701627847330317,0.6394587142256368,0.012631578947368383,3.2693566286604496
$a$,0.10720839769391806,0.819129709415926,0.055394736842105226,-0.502024220352805
$\tau$,0.06143260966886721,0.9522683726516856,0.02144736842105266,0.27141002214587
$s_v$,0.21677830086049127,0.34194068015117957,0.023421052631578954,1.3593528665217443
$s_\tau$,0.07954744667638697,0.9215896007511397,0.018552631578947404,3.023246354325377
$v$ -- $u_1$ | $c_{1}$,0.15377748174898176,0.7567660817070329,0.014342105263157878,3.0761626172681247
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.13260131621634397,0.846569521769853,0.012368421052631598,1.7339954961043307
$a$ -- $u_1$ | $c_{1}$,0.0731521698475022,0.9398831442523623,0.011184210526315796,2.823239766027933
$\tau$ -- $u_1$ | $c_{1}$,0.042158387627709765,0.9869652543040087,0.03381578947368419,0.9954327449782076
$s_v$ -- $u_1$ | $c_{1}$,0.20721970664276185,0.4585612352519133,0.012500000000000011,0.1731591547044323
$v$ -- $u_2$ | $c_{1}$,0.14202706780721133,0.7491442083693097,0.01710526315789479,1.997090211540835
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.11480075586802113,0.8252479309036317,0.012236842105263102,1.3417042336566334
$a$ -- $u_2$ | $c_{1}$,0.06308357788316055,0.9398699646936338,0.008815789473684221,2.6059031408680258
$\tau$ -- $u_2$ | $c_{1}$,0.04790265645558979,0.9859292228420293,0.02881578947368424,-0.7278988200799311
$v$ -- $u_1:u_2$ | $c_{1}$,0.1569017365104447,0.6201701624360645,0.017763157894736814,2.928778736034462
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.14959728732839656,0.7652554782049115,0.01776315789473687,3.0296176853361696
$a$ -- $u_1:u_2$ | $c_{1}$,0.07130302306312263,0.9470331227236951,0.031315789473684186,-0.1452288039131149
