,NRMSE,Posterior Contraction,Calibration Error
$v$,0.20240675313668582,0.7843892177692575,0.2094736842105263
$v_{\mathrm{diff}}$,0.1458479976070431,0.7174912111611083,0.024210526315789488
$a$,0.16557838808727043,0.9208519660499118,0.25000000000000006
$\tau$,0.12965952198765798,0.9856662773361937,0.31000000000000005
$s_v$,0.22612495244180586,0.2809079968200442,0.03394736842105259
$s_\tau$,0.14029096376301992,0.9613076355790864,0.23250000000000007
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.08723847453889558,0.9229487270111741,0.05499999999999998
$a$ -- $u_1$ | $c_{1}$,0.03545951224745987,0.9912081098845469,0.10842105263157895
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.09207367130190712,0.9184710944612289,0.10276315789473686
$a$ -- $u_2$ | $c_{1}$,0.030086059689903022,0.9919465500367826,0.15789473684210528
