,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.08416958698459369,0.9017365776356113,0.01526315789473684,2.160609553121557
$a$,0.042718107430923996,0.9740183725949492,0.019342105263157897,1.8179841500750467
$z$,0.03783510103748819,0.9729934654698109,0.04828947368421055,0.4299146776553618
$\tau$,0.028261663571566092,0.994918933230422,0.00842105263157894,-2.38676147431103
$s_v$,0.1811992364392275,0.4616624262078694,0.012763157894736865,3.463891943988154
$s_\tau$,0.04362804176548874,0.9849357397505933,0.009342105263157874,2.7077062355111874
$v$ -- $u_1$ | $c_{1}$,0.08459648218525864,0.9332359079150279,0.010657894736842033,3.2317487153845947
$a$ -- $u_1$ | $c_{1}$,0.038589044097818104,0.9893450222741,0.020526315789473698,1.964479890950153
$z$ -- $u_1$ | $c_{1}$,0.049294452066134364,0.9778245428453127,0.00855263157894734,4.2816996978831625
$v$ -- $u_2$ | $c_{1}$,0.08838848761879897,0.9308394998789867,0.021578947368421045,1.1394128824499934
$a$ -- $u_2$ | $c_{1}$,0.040514685448097,0.9892382175881897,0.029210526315789465,2.883869550972411
$z$ -- $u_2$ | $c_{1}$,0.05473214247974778,0.9742388604336616,0.012631578947368383,4.380676681498134
