,C2ST Accuracy
$v$,0.5225000000000001
$v_\theta$,0.50405
$a$,0.5155375
$\tau$,0.5135
$s_v$,0.5108874999999999
$s_\tau$,0.50785
$v$ -- $u_1$ | $c_{1}$,0.5083624999999999
$v_\theta$ -- $u_1$ | $c_{1}$,0.505325
$a$ -- $u_1$ | $c_{1}$,0.5243375
$\tau$ -- $u_1$ | $c_{1}$,0.5106875
$s_v$ -- $u_1$ | $c_{1}$,0.5286375000000001
$v$ -- $u_2$ | $c_{1}$,0.5337125
$v_\theta$ -- $u_2$ | $c_{1}$,0.5035375
$a$ -- $u_2$ | $c_{1}$,0.5481375
$\tau$ -- $u_2$ | $c_{1}$,0.51235
$v$ -- $u_1:u_2$ | $c_{1}$,0.5197750000000001
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.5155749999999999
$a$ -- $u_1:u_2$ | $c_{1}$,0.5400750000000001
_mean_accuracy_,0.5180465277777778
_joint_c2st_,0.9381250000000001
