,C2ST Accuracy
$v$,0.5076125
$a$,0.5125249999999999
$z$,0.5121
$\tau$,0.5198750000000001
$s_v$,0.5135625
$s_\tau$,0.5119
$v$ -- $u_1$ | $c_{1}$,0.5059250000000001
$a$ -- $u_1$ | $c_{1}$,0.5267
$z$ -- $u_1$ | $c_{1}$,0.51135
$\tau$ -- $u_1$ | $c_{1}$,0.5129374999999999
$s_v$ -- $u_1$ | $c_{1}$,0.506175
$s_\tau$ -- $u_1$ | $c_{1}$,0.5046875
$v$ -- $u_2$ | $c_{1}$,0.5086625
$a$ -- $u_2$ | $c_{1}$,0.5129250000000001
$z$ -- $u_2$ | $c_{1}$,0.5151749999999999
$\tau$ -- $u_2$ | $c_{1}$,0.512725
$s_v$ -- $u_2$ | $c_{1}$,0.5024375
$s_\tau$ -- $u_2$ | $c_{1}$,0.5235125
$v$ -- $u_1:u_2$ | $c_{1}$,0.50695
$a$ -- $u_1:u_2$ | $c_{1}$,0.5161875
$z$ -- $u_1:u_2$ | $c_{1}$,0.518175
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.5133375
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.50625
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.5147875
_mean_accuracy_,0.8862
