,C2ST Accuracy
$v$,0.518125
$a$,0.5095375000000001
$z$,0.5147375000000001
$\tau$,0.5123749999999999
$s_v$,0.5091249999999999
$s_\tau$,0.5189625
$v$ -- $u_1$ | $c_{1}$,0.5072875
$a$ -- $u_1$ | $c_{1}$,0.5112375
$z$ -- $u_1$ | $c_{1}$,0.5236875
$\tau$ -- $u_1$ | $c_{1}$,0.5153875
$s_v$ -- $u_1$ | $c_{1}$,0.5034749999999999
$v$ -- $u_2$ | $c_{1}$,0.5034
$a$ -- $u_2$ | $c_{1}$,0.5196875
$z$ -- $u_2$ | $c_{1}$,0.512475
$\tau$ -- $u_2$ | $c_{1}$,0.521175
$v$ -- $u_1:u_2$ | $c_{1}$,0.513975
$a$ -- $u_1:u_2$ | $c_{1}$,0.5269375
$z$ -- $u_1:u_2$ | $c_{1}$,0.5218
_mean_accuracy_,0.8531375000000001
