,C2ST Accuracy
$v$,0.5181375
$a$,0.506825
$z$,0.5111000000000001
$\tau$,0.5102874999999999
$s_v$,0.5201625
$s_\tau$,0.517
$v$ -- $u_1$ | $c_{1}$,0.514025
$a$ -- $u_1$ | $c_{1}$,0.5304499999999999
$z$ -- $u_1$ | $c_{1}$,0.5134624999999999
$\tau$ -- $u_1$ | $c_{1}$,0.5059125
$s_v$ -- $u_1$ | $c_{1}$,0.5046875000000001
$v$ -- $u_2$ | $c_{1}$,0.5211125
$a$ -- $u_2$ | $c_{1}$,0.5104500000000001
$z$ -- $u_2$ | $c_{1}$,0.5181875
$\tau$ -- $u_2$ | $c_{1}$,0.5147499999999999
$v$ -- $u_1:u_2$ | $c_{1}$,0.5854375
$a$ -- $u_1:u_2$ | $c_{1}$,0.5223125
$z$ -- $u_1:u_2$ | $c_{1}$,0.5325374999999999
_mean_accuracy_,0.5198243055555555
_joint_c2st_,0.9428875000000001
