,C2ST Accuracy
$v$,0.5225500000000001
$v_{\mathrm{diff}}$,0.5104875
$a$,0.5107250000000001
$\tau$,0.5116499999999999
$s_v$,0.5188750000000001
$s_\tau$,0.5070250000000001
$v$ -- $u_1$ | $c_{1}$,0.5065124999999999
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.508125
$a$ -- $u_1$ | $c_{1}$,0.505375
$\tau$ -- $u_1$ | $c_{1}$,0.51285
$s_v$ -- $u_1$ | $c_{1}$,0.5144
$v$ -- $u_2$ | $c_{1}$,0.5066625
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.50945
$a$ -- $u_2$ | $c_{1}$,0.5021125000000001
$\tau$ -- $u_2$ | $c_{1}$,0.5079624999999999
$v$ -- $u_1:u_2$ | $c_{1}$,0.5169625
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.5014749999999999
$a$ -- $u_1:u_2$ | $c_{1}$,0.52465
_mean_accuracy_,0.5109916666666665
_joint_c2st_,0.8123875
