,C2ST Accuracy
$v$,0.5168250000000001
$v_{\mathrm{diff}}$,0.5110625
$a$,0.5182
$\tau$,0.5143375000000001
$s_v$,0.5235
$s_\tau$,0.5110750000000001
$v$ -- $u_1$ | $c_{1}$,0.5058
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.5107
$a$ -- $u_1$ | $c_{1}$,0.5107999999999999
$\tau$ -- $u_1$ | $c_{1}$,0.5081125
$s_v$ -- $u_1$ | $c_{1}$,0.5229625
$v$ -- $u_2$ | $c_{1}$,0.5040625000000001
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.5112875
$a$ -- $u_2$ | $c_{1}$,0.5076625
$\tau$ -- $u_2$ | $c_{1}$,0.5108499999999999
$v$ -- $u_1:u_2$ | $c_{1}$,0.5125624999999999
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.5086875
$a$ -- $u_1:u_2$ | $c_{1}$,0.50675
_mean_accuracy_,0.5119576388888889
_joint_c2st_,0.6957249999999999
