,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.08698482066392899,0.8894100785255432,0.01105263157894737,-7.06097982688358
$v_\theta$,0.1369674801826477,0.7263686656951904,0.021447368421052656,2.4119470466626156
$a$,0.08534203469753265,0.9140260219573975,0.010921052631578942,-3.932760068269345
$\tau$,0.08636727184057236,0.9036340713500977,0.009736842105263158,-4.547613715689241
$s_v$,0.24231258034706116,0.0,0.051315789473684176,-1.2511391979533941
$s_\tau$,0.11760103702545166,0.6614664793014526,0.007500000000000005,3.030904510489402
$v$ -- $u_1$ | $c_{1}$,0.09771259129047394,0.8405474424362183,0.0646052631578947,2.2029699246685257
$v_\theta$ -- $u_1$ | $c_{1}$,0.12535539269447327,0.8172892332077026,0.02526315789473685,3.795388712216682
$a$ -- $u_1$ | $c_{1}$,0.07884956896305084,0.9397851228713989,0.010394736842105262,2.9996798575646966
$\tau$ -- $u_1$ | $c_{1}$,0.05917780101299286,0.9660621881484985,0.05447368421052631,-0.5710242372649897
$s_v$ -- $u_1$ | $c_{1}$,0.26396262645721436,0.1940021514892578,0.02026315789473683,2.1128937947527704
$v$ -- $u_2$ | $c_{1}$,0.12151475995779037,0.8410718441009521,0.017763157894736828,3.480205460121085
$v_\theta$ -- $u_2$ | $c_{1}$,0.12310076504945755,0.8348064422607422,0.01276315789473686,1.3984391457929113
$a$ -- $u_2$ | $c_{1}$,0.06974261999130249,0.9498910307884216,0.02894736842105261,-0.8115756805775078
$\tau$ -- $u_2$ | $c_{1}$,0.06946126371622086,0.9566990733146667,0.05776315789473685,-1.1265053531246314
$v$ -- $u_1:u_2$ | $c_{1}$,0.12688729166984558,0.6868630051612854,0.018026315789473682,4.0458788869719235
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.15407195687294006,0.6263327598571777,0.02157894736842103,2.330268692499016
$a$ -- $u_1:u_2$ | $c_{1}$,0.10016007721424103,0.8907339572906494,0.02013157894736839,3.9109871120642907
