,NRMSE,Posterior Contraction,Calibration Error
$v$,0.07060309499502182,0.9326836466789246,0.01723684210526316
$v_\theta$,0.06557507812976837,0.9545681476593018,0.03328947368421054
$a$,0.043983977288007736,0.9791873693466187,0.020789473684210493
$\tau$,0.039717890322208405,0.9878153800964355,0.01671052631578951
$s_v$,0.22294272482395172,0.27125853300094604,0.03105263157894736
$s_\tau$,0.07749152183532715,0.9542791843414307,0.040000000000000036
$v$ -- $u_1$ | $c_{1}$,0.08766935765743256,0.9494900703430176,0.07039473684210526
$a$ -- $u_1$ | $c_{1}$,0.026995917782187462,0.9943596124649048,0.03210526315789476
$v$ -- $u_2$ | $c_{1}$,0.08390113711357117,0.9514639973640442,0.010131578947368436
$a$ -- $u_2$ | $c_{1}$,0.03145865350961685,0.9936321973800659,0.06881578947368425
