,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.10804503411054611,0.8328616619110107,0.01578947368421052,2.976667502931905
$a$,0.05685695260763168,0.9370712041854858,0.027763157894736806,-1.1846103497663096
$z$,0.08779348433017731,0.9109753370285034,0.011710526315789449,-1.0551263328380953
$\tau$,0.06561165302991867,0.9431009292602539,0.021184210526315805,-26.140376350164814
$v$ -- $u_1$ | $c_{1}$,0.14147526025772095,0.8141696453094482,0.01881578947368423,4.0091582543850235
$a$ -- $u_1$ | $c_{1}$,0.06542778760194778,0.9577211141586304,0.10644736842105262,-3.1077971113472147
$z$ -- $u_1$ | $c_{1}$,0.07150386273860931,0.9301210641860962,0.027236842105263153,2.7736970067571964
$v$ -- $u_2$ | $c_{1}$,0.10775014758110046,0.7934666275978088,0.046447368421052654,2.7744317271043655
$a$ -- $u_2$ | $c_{1}$,0.0616455003619194,0.9580565690994263,0.028815789473684197,3.528405736057756
$z$ -- $u_2$ | $c_{1}$,0.0863184779882431,0.9124618768692017,0.011578947368421022,4.705624098548693
