,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.11384844779968262,0.8539611101150513,0.04210526315789474,-1.8340196074328177
$a$,0.09332773834466934,0.9078224301338196,0.02526315789473685,0.338943108876083
$z$,0.07296944409608841,0.9070571660995483,0.02710526315789477,-0.9867889260379382
$\tau$,0.07533340156078339,0.9323077201843262,0.021710526315789486,-14.122606113479993
$s_v$,0.19867682456970215,0.36314332485198975,0.018289473684210494,3.447360101732071
$s_\tau$,0.16956329345703125,0.6401031017303467,0.010000000000000004,3.9014545425450313
$v$ -- $u_1$ | $c_{1}$,0.15001872181892395,0.7612359523773193,0.03039473684210528,3.2623695911761756
$a$ -- $u_1$ | $c_{1}$,0.0760163962841034,0.9415429830551147,0.016973684210526346,2.9270492324812887
$z$ -- $u_1$ | $c_{1}$,0.09021307528018951,0.9029446840286255,0.01447368421052632,4.4143063442554205
$\tau$ -- $u_1$ | $c_{1}$,0.05751791596412659,0.975415050983429,0.011973684210526359,4.442086521200924
$s_v$ -- $u_1$ | $c_{1}$,0.22018104791641235,0.15641093254089355,0.007894736842105288,1.8981111345576773
$s_\tau$ -- $u_1$ | $c_{1}$,0.1358669102191925,0.808869481086731,0.009868421052631582,2.9172900700458926
$v$ -- $u_2$ | $c_{1}$,0.1204950138926506,0.7825257778167725,0.01855263157894739,3.5941374461553663
$a$ -- $u_2$ | $c_{1}$,0.06599965691566467,0.9415132999420166,0.010657894736842088,0.2286287452201898
$z$ -- $u_2$ | $c_{1}$,0.08329446613788605,0.8994649648666382,0.013684210526315771,2.888794151235685
$\tau$ -- $u_2$ | $c_{1}$,0.07646588981151581,0.9682916402816772,0.014868421052631586,3.8958015754823734
$s_v$ -- $u_2$ | $c_{1}$,0.1969815492630005,0.18262571096420288,0.008157894736842142,4.097796051155259
$s_\tau$ -- $u_2$ | $c_{1}$,0.1391410529613495,0.7936512231826782,0.013684210526315788,2.2412734387398254
$v$ -- $u_1:u_2$ | $c_{1}$,0.1561521738767624,0.5213173031806946,0.03013157894736844,3.5971350801033513
$a$ -- $u_1:u_2$ | $c_{1}$,0.12203864753246307,0.8115648031234741,0.021710526315789454,3.901454542545023
$z$ -- $u_1:u_2$ | $c_{1}$,0.10046030580997467,0.8062079548835754,0.017368421052631644,-0.9262857446555544
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.06490236520767212,0.9570605754852295,0.008157894736842058,4.449436624847823
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.24607029557228088,0.15596646070480347,0.02631578947368418,4.449436624847828
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.1843673288822174,0.6352859139442444,0.035131578947368416,1.1720074382234371
