,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10501679033041,0.8539825677871704,0.04236842105263161
$a$,0.0784308984875679,0.9341915845870972,0.027763157894736823
$z$,0.07018543779850006,0.9460686445236206,0.019868421052631605
$\tau$,0.06920614838600159,0.9485441446304321,0.04539473684210531
$s_v$,0.19554518163204193,0.33909541368484497,0.01671052631578951
$s_\tau$,0.10401414334774017,0.9310638308525085,0.012236842105263102
$v$ -- $u_1$ | $c_{1}$,0.13974785804748535,0.7633811831474304,0.012763157894736837
$a$ -- $u_1$ | $c_{1}$,0.07006323337554932,0.960331916809082,0.01144736842105265
$z$ -- $u_1$ | $c_{1}$,0.07696428894996643,0.9280248284339905,0.01855263157894736
$\tau$ -- $u_1$ | $c_{1}$,0.0383041650056839,0.991578221321106,0.010921052631578942
$s_v$ -- $u_1$ | $c_{1}$,0.2336987555027008,0.20660901069641113,0.022368421052631593
$v$ -- $u_2$ | $c_{1}$,0.12102939188480377,0.8368561267852783,0.023815789473684217
$a$ -- $u_2$ | $c_{1}$,0.056083180010318756,0.9630256295204163,0.009605263157894737
$z$ -- $u_2$ | $c_{1}$,0.083132304251194,0.9289109706878662,0.03657894736842106
$\tau$ -- $u_2$ | $c_{1}$,0.04281673580408096,0.9894660711288452,0.016710526315789453
$v$ -- $u_1:u_2$ | $c_{1}$,0.13213786482810974,0.6610428094863892,0.011315789473684196
$a$ -- $u_1:u_2$ | $c_{1}$,0.09909035265445709,0.8899680972099304,0.014342105263157878
$z$ -- $u_1:u_2$ | $c_{1}$,0.10526513308286667,0.8535760045051575,0.00513157894736843
