,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10789765417575836,0.8659507036209106,0.04342105263157897
$a$,0.06183555722236633,0.9536826610565186,0.0069736842105263125
$z$,0.06005509942770004,0.962775468826294,0.011973684210526334
$\tau$,0.03926440328359604,0.990421712398529,0.017631578947368436
$s_v$,0.23579725623130798,0.3781370520591736,0.015263157894736867
$s_\tau$,0.0758911594748497,0.9595634937286377,0.007500000000000034
$v$ -- $u_1$ | $c_{1}$,0.09843012690544128,0.9014297127723694,0.016447368421052655
$a$ -- $u_1$ | $c_{1}$,0.05870123207569122,0.978387176990509,0.01039473684210529
$z$ -- $u_1$ | $c_{1}$,0.06691087037324905,0.9564458131790161,0.008552631578947367
$v$ -- $u_2$ | $c_{1}$,0.10103785991668701,0.895159125328064,0.05065789473684207
$a$ -- $u_2$ | $c_{1}$,0.04372537136077881,0.9825889468193054,0.01552631578947368
$z$ -- $u_2$ | $c_{1}$,0.054156750440597534,0.9587145447731018,0.031184210526315814
