,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.08888065814971924,0.9058291912078857,0.07460526315789477,-14.201004133686336
$v_\theta$,0.13311369717121124,0.7266652584075928,0.037105263157894725,-0.8652687044733914
$a$,0.05511357635259628,0.9515740871429443,0.013421052631578959,-4.772117652464133
$\tau$,0.06577794253826141,0.9609372019767761,0.04684210526315796,-14.030066069994996
$s_v$,0.24252989888191223,0.1637020707130432,0.017763157894736842,3.083266544277837
$s_\tau$,0.08743172883987427,0.8960644006729126,0.07539473684210526,-5.807016490404892
$v$ -- $u_1$ | $c_{1}$,0.10747469961643219,0.8535739183425903,0.04486842105263156,-3.4409242353135387
$v_\theta$ -- $u_1$ | $c_{1}$,0.1308143138885498,0.8541889190673828,0.02026315789473683,-2.855796439370492
$a$ -- $u_1$ | $c_{1}$,0.046572163701057434,0.9704301357269287,0.01210526315789472,2.1530076384778516
$\tau$ -- $u_1$ | $c_{1}$,0.053824275732040405,0.9879837036132812,0.01815789473684204,-1.2319283741083975
$s_v$ -- $u_1$ | $c_{1}$,0.21344596147537231,0.375984787940979,0.017763157894736856,2.8052510530038584
$v$ -- $u_2$ | $c_{1}$,0.07529972493648529,0.8990729451179504,0.06039473684210525,-0.25406363390679776
$v_\theta$ -- $u_2$ | $c_{1}$,0.11766816675662994,0.8449355363845825,0.03368421052631579,2.4319653838164523
$a$ -- $u_2$ | $c_{1}$,0.04332529753446579,0.9799515008926392,0.017236842105263106,2.6346989202303233
$\tau$ -- $u_2$ | $c_{1}$,0.046429939568042755,0.9877868890762329,0.008947368421052648,3.3951943907603717
$v$ -- $u_1:u_2$ | $c_{1}$,0.1332608163356781,0.7408020496368408,0.05736842105263157,-0.25323789513494466
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.14636379480361938,0.6980959177017212,0.033421052631578976,0.14663099615296318
$a$ -- $u_1:u_2$ | $c_{1}$,0.0686822384595871,0.9569482803344727,0.015394736842105267,4.0063652435551935
