,NRMSE,Posterior Contraction,Calibration Error
$v$,0.07606476545333862,0.9080250263214111,0.01894736842105263
$v_\theta$,0.07372742891311646,0.9345560073852539,0.024736842105263168
$a$,0.04782140254974365,0.971550703048706,0.013157894736842146
$\tau$,0.04198145866394043,0.9864907264709473,0.06289473684210528
$s_v$,0.22513477504253387,0.2508822977542877,0.02644736842105266
$s_\tau$,0.07664764672517776,0.9465620517730713,0.009473684210526329
$v$ -- $u_1$ | $c_{1}$,0.09328979253768921,0.9330753684043884,0.02447368421052637
$a$ -- $u_1$ | $c_{1}$,0.028379973024129868,0.9920697212219238,0.024210526315789432
$v$ -- $u_2$ | $c_{1}$,0.08677121996879578,0.9345875978469849,0.04973684210526311
$a$ -- $u_2$ | $c_{1}$,0.03161396086215973,0.9918458461761475,0.01013157894736845
