,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1016128659248352,0.8545289039611816,0.01473684210526316
$a$,0.04989055171608925,0.9498281478881836,0.07539473684210526
$z$,0.08262763917446136,0.9201052188873291,0.024078947368421033
$\tau$,0.06215083599090576,0.9676223397254944,0.034736842105263184
$v$ -- $u_1$ | $c_{1}$,0.10863088071346283,0.8369883298873901,0.0693421052631579
$a$ -- $u_1$ | $c_{1}$,0.04593793302774429,0.981880247592926,0.019210526315789456
$z$ -- $u_1$ | $c_{1}$,0.06332680583000183,0.9383553266525269,0.060657894736842105
$v$ -- $u_2$ | $c_{1}$,0.10962207615375519,0.837343156337738,0.008026315789473677
$a$ -- $u_2$ | $c_{1}$,0.04919953644275665,0.9742031097412109,0.03355263157894739
$z$ -- $u_2$ | $c_{1}$,0.0763188824057579,0.9216977953910828,0.052368421052631564
