,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10793191194534302,0.8232550621032715,0.017368421052631602
$a$,0.07886317372322083,0.9213955402374268,0.008289473684210541
$z$,0.07434142380952835,0.9364386796951294,0.007894736842105288
$\tau$,0.07105471193790436,0.9399211406707764,0.038026315789473686
$s_v$,0.19914984703063965,0.30715465545654297,0.01789473684210528
$s_\tau$,0.10678771883249283,0.9272289276123047,0.027631578947368396
$v$ -- $u_1$ | $c_{1}$,0.1402466595172882,0.7163746356964111,0.05684210526315789
$a$ -- $u_1$ | $c_{1}$,0.07402870059013367,0.9559643268585205,0.019342105263157855
$z$ -- $u_1$ | $c_{1}$,0.08123822510242462,0.9139394760131836,0.03789473684210523
$\tau$ -- $u_1$ | $c_{1}$,0.04026416689157486,0.9898699522018433,0.023947368421052658
$s_v$ -- $u_1$ | $c_{1}$,0.23418715596199036,0.20310315489768982,0.0231578947368421
$v$ -- $u_2$ | $c_{1}$,0.12234625220298767,0.8165654540061951,0.014342105263157878
$a$ -- $u_2$ | $c_{1}$,0.05973637104034424,0.9563558101654053,0.014342105263157878
$z$ -- $u_2$ | $c_{1}$,0.0825183093547821,0.9129930138587952,0.016578947368421026
$\tau$ -- $u_2$ | $c_{1}$,0.04833110421895981,0.9872468709945679,0.03263157894736843
$v$ -- $u_1:u_2$ | $c_{1}$,0.13551874458789825,0.6260302066802979,0.01105263157894737
$a$ -- $u_1:u_2$ | $c_{1}$,0.09984783828258514,0.8705415725708008,0.021710526315789513
$z$ -- $u_1:u_2$ | $c_{1}$,0.10672777146100998,0.8268494606018066,0.02210526315789468
