,NRMSE,Posterior Contraction,Calibration Error
$v$,0.11287270486354828,0.83113694190979,0.010789473684210515
$a$,0.06622752547264099,0.9436773061752319,0.03394736842105264
$z$,0.06587272882461548,0.9486618041992188,0.018421052631578907
$\tau$,0.04403379559516907,0.9865765571594238,0.017236842105263175
$s_v$,0.23912131786346436,0.3678518235683441,0.013421052631578945
$s_\tau$,0.0821351408958435,0.9475719928741455,0.02236842105263155
$v$ -- $u_1$ | $c_{1}$,0.10732349753379822,0.8656570911407471,0.022368421052631537
$a$ -- $u_1$ | $c_{1}$,0.06548283994197845,0.970119059085846,0.02552631578947368
$z$ -- $u_1$ | $c_{1}$,0.07386218756437302,0.9398971796035767,0.038552631578947394
$v$ -- $u_2$ | $c_{1}$,0.1095510795712471,0.864568829536438,0.08749999999999997
$a$ -- $u_2$ | $c_{1}$,0.047233946621418,0.9778050184249878,0.009078947368421034
$z$ -- $u_2$ | $c_{1}$,0.0635882318019867,0.9429675340652466,0.026184210526315754
