,NRMSE,Posterior Contraction,Calibration Error
$v$,0.22232463955879211,0.43473535776138306,0.03500000000000002
$v_{\mathrm{diff}}$,0.14232459664344788,0.6385387182235718,0.014605263157894732
$a$,0.11234894394874573,0.793242871761322,0.018289473684210467
$\tau$,0.06957352161407471,0.9401869773864746,0.036052631578947406
$s_v$,0.25653761625289917,0.16593706607818604,0.012368421052631601
$s_\tau$,0.08586598932743073,0.8704308271408081,0.01013157894736838
$v$ -- $u_1$ | $c_{1}$,0.20231091976165771,0.6051759123802185,0.03499999999999999
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.13018204271793365,0.8093661069869995,0.04552631578947367
$a$ -- $u_1$ | $c_{1}$,0.09727758169174194,0.914003849029541,0.08513157894736845
$\tau$ -- $u_1$ | $c_{1}$,0.055609747767448425,0.9879999756813049,0.019342105263157938
$s_v$ -- $u_1$ | $c_{1}$,0.23534531891345978,0.2882709205150604,0.012763157894736865
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.24624766409397125,0.8210175037384033,0.31000000000000005
$a$ -- $u_2$ | $c_{1}$,0.33136510848999023,0.9327214956283569,0.44750000000000006
$\tau$ -- $u_2$ | $c_{1}$,0.2860855460166931,0.9861202239990234,0.4575
$v$ -- $u_1:u_2$ | $c_{1}$,0.30544257164001465,0.630318284034729,0.34750000000000003
