,NRMSE,Posterior Contraction,Calibration Error
$v$,0.14927002787590027,0.6777012348175049,0.0257894736842105
$v_{\mathrm{diff}}$,0.14999251067638397,0.6389623880386353,0.012763157894736837
$a$,0.10036931931972504,0.8817903995513916,0.014868421052631545
$\tau$,0.0402621328830719,0.9853949546813965,0.05776315789473685
$s_v$,0.22448188066482544,0.22347679734230042,0.00842105263157893
$s_\tau$,0.09435044229030609,0.8903689384460449,0.033289473684210535
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.08975940942764282,0.8944506645202637,0.06013157894736837
$a$ -- $u_1$ | $c_{1}$,0.03224259987473488,0.98699951171875,0.05644736842105261
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.09065009653568268,0.8766751289367676,0.03710526315789471
$a$ -- $u_2$ | $c_{1}$,0.026830535382032394,0.9878872036933899,0.04000000000000001
