,NRMSE,Posterior Contraction,Calibration Error
$v$,0.2103346735239029,0.441796213388443,0.014605263157894732
$v_{\mathrm{diff}}$,0.13662317395210266,0.6796495914459229,0.016578947368421065
$a$,0.10502362996339798,0.8086951375007629,0.005789473684210525
$\tau$,0.06278397142887115,0.9457899332046509,0.02552631578947373
$s_v$,0.2596634328365326,0.1811486780643463,0.017894736842105297
$s_\tau$,0.08020506054162979,0.9010134339332581,0.016447368421052613
$v$ -- $u_1$ | $c_{1}$,0.1908244490623474,0.6629369258880615,0.01078947368421053
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.12026625871658325,0.8242619037628174,0.010921052631578887
$a$ -- $u_1$ | $c_{1}$,0.0846671611070633,0.9190107583999634,0.049342105263157916
$\tau$ -- $u_1$ | $c_{1}$,0.050910092890262604,0.9893784523010254,0.0660526315789474
$s_v$ -- $u_1$ | $c_{1}$,0.23452432453632355,0.3017367124557495,0.02618421052631581
$v$ -- $u_2$ | $c_{1}$,0.1687735915184021,0.6421427130699158,0.023157894736842044
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.149044007062912,0.7515757083892822,0.021973684210526312
$a$ -- $u_2$ | $c_{1}$,0.08523637056350708,0.927240252494812,0.023815789473684235
$\tau$ -- $u_2$ | $c_{1}$,0.04796585068106651,0.9874272346496582,0.024868421052631595
$v$ -- $u_1:u_2$ | $c_{1}$,0.18609553575515747,0.5559457540512085,0.028947368421052617
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.16280874609947205,0.6613295078277588,0.02684210526315789
$a$ -- $u_1:u_2$ | $c_{1}$,0.1060374453663826,0.9226847887039185,0.1698684210526316
