,NRMSE,Posterior Contraction,Calibration Error
$v$,0.13990095257759094,0.7482484579086304,0.01671052631578948
$v_{\mathrm{diff}}$,0.1419055163860321,0.7136346101760864,0.02618421052631581
$a$,0.09288346767425537,0.9118084907531738,0.012631578947368438
$\tau$,0.036429982632398605,0.9881947040557861,0.016447368421052655
$s_v$,0.2211698591709137,0.24307522177696228,0.01407894736842108
$s_\tau$,0.095119908452034,0.9164999723434448,0.017631578947368387
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.08336439728736877,0.9265061616897583,0.01565789473684215
$a$ -- $u_1$ | $c_{1}$,0.02892395853996277,0.9912073612213135,0.02157894736842106
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.08368398994207382,0.9094101190567017,0.013026315789473709
$a$ -- $u_2$ | $c_{1}$,0.02401500754058361,0.9916514158248901,0.007763157894736861
