,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08569283783435822,0.8800166845321655,0.014342105263157934
$a$,0.07210111618041992,0.9670032262802124,0.03486842105263159
$z$,0.07198004424571991,0.942202091217041,0.026315789473684237
$\tau$,0.051855556666851044,0.981267511844635,0.01447368421052636
$v$ -- $u_1$ | $c_{1}$,0.1093260869383812,0.8867083191871643,0.015921052631578947
$a$ -- $u_1$ | $c_{1}$,0.04042026773095131,0.9846599698066711,0.012236842105263171
$z$ -- $u_1$ | $c_{1}$,0.06784519553184509,0.9546741843223572,0.014736842105263187
$v$ -- $u_2$ | $c_{1}$,0.10432684421539307,0.8439413905143738,0.016973684210526307
$a$ -- $u_2$ | $c_{1}$,0.04862283915281296,0.9846658110618591,0.012368421052631584
$z$ -- $u_2$ | $c_{1}$,0.06314943730831146,0.9510931372642517,0.04000000000000002
