,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1103065013885498,0.8487222194671631,0.008421052631578968
$a$,0.060626063495874405,0.9633880853652954,0.01736842105263159
$z$,0.051872190088033676,0.9690219163894653,0.03092105263157896
$\tau$,0.03503338620066643,0.992506742477417,0.02447368421052637
$s_v$,0.18158163130283356,0.3859679102897644,0.02157894736842103
$s_\tau$,0.07649490237236023,0.9624396562576294,0.019078947368421056
$v$ -- $u_1$ | $c_{1}$,0.0891232118010521,0.9076975584030151,0.03065789473684216
$a$ -- $u_1$ | $c_{1}$,0.04215390607714653,0.9869793057441711,0.027105263157894743
$z$ -- $u_1$ | $c_{1}$,0.05485713109374046,0.970694899559021,0.02276315789473682
$v$ -- $u_2$ | $c_{1}$,0.08821502327919006,0.9037944078445435,0.013289473684210518
$a$ -- $u_2$ | $c_{1}$,0.04231227934360504,0.9848904609680176,0.024605263157894713
$z$ -- $u_2$ | $c_{1}$,0.04719437658786774,0.9613987803459167,0.008026315789473663
