,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08891412615776062,0.8902109265327454,0.014210526315789479
$a$,0.06115078926086426,0.9732036590576172,0.05421052631578946
$z$,0.06172580271959305,0.946121335029602,0.016184210526315787
$\tau$,0.04829414188861847,0.9850338101387024,0.015526315789473666
$v$ -- $u_1$ | $c_{1}$,0.11681670695543289,0.8892101049423218,0.01513157894736844
$a$ -- $u_1$ | $c_{1}$,0.047366704791784286,0.9878199696540833,0.03473684210526315
$z$ -- $u_1$ | $c_{1}$,0.06697984039783478,0.9604552984237671,0.030789473684210547
$v$ -- $u_2$ | $c_{1}$,0.0836067795753479,0.8915910720825195,0.013289473684210545
$a$ -- $u_2$ | $c_{1}$,0.03442273288965225,0.9867621660232544,0.04000000000000001
$z$ -- $u_2$ | $c_{1}$,0.06348507106304169,0.9550438523292542,0.03526315789473686
