,NRMSE,Posterior Contraction,Calibration Error
$v$,0.2913793921470642,0.0,0.014210526315789451
$a$,0.24140647053718567,0.09637308120727539,0.023815789473684235
$z$,0.2592574954032898,0.0,0.010921052631578887
$\tau$,0.28169625997543335,0.0,0.02013157894736839
$v$ -- $u_1$ | $c_{1}$,0.22843998670578003,0.06648668646812439,0.011710526315789449
$a$ -- $u_1$ | $c_{1}$,0.23930774629116058,0.06894177198410034,0.01973684210526319
$z$ -- $u_1$ | $c_{1}$,0.309218168258667,0.0,0.018157894736842095
$v$ -- $u_2$ | $c_{1}$,0.28365659713745117,0.0,0.00868421052631578
$a$ -- $u_2$ | $c_{1}$,0.24440211057662964,0.0,0.012763157894736837
$z$ -- $u_2$ | $c_{1}$,0.25562793016433716,0.06783714890480042,0.02052631578947367
