,NRMSE,Posterior Contraction,Calibration Error
$v$,0.2687923014163971,0.0,0.016710526315789467
$a$,0.2703098654747009,0.0,0.01881578947368419
$z$,0.2732132375240326,0.001535266637802124,0.010394736842105207
$\tau$,0.2533757984638214,0.05474451184272766,0.012894736842105254
$s_v$,0.2602080702781677,0.0948452353477478,0.013947368421052653
$s_\tau$,0.29946643114089966,0.0,0.03526315789473686
$v$ -- $u_1$ | $c_{1}$,0.2747352719306946,0.0,0.01513157894736844
$a$ -- $u_1$ | $c_{1}$,0.234378844499588,0.0,0.01842105263157895
$z$ -- $u_1$ | $c_{1}$,0.27448374032974243,0.0,0.018026315789473724
$\tau$ -- $u_1$ | $c_{1}$,0.26450371742248535,0.0,0.03934210526315787
$s_v$ -- $u_1$ | $c_{1}$,0.2675054669380188,0.0,0.022368421052631593
$v$ -- $u_2$ | $c_{1}$,0.23085731267929077,0.1303793489933014,0.012894736842105264
$a$ -- $u_2$ | $c_{1}$,0.2226525843143463,0.1181688904762268,0.021710526315789513
$z$ -- $u_2$ | $c_{1}$,0.25051349401474,0.04437452554702759,0.01157894736842105
$\tau$ -- $u_2$ | $c_{1}$,0.2716103196144104,0.0,0.008552631578947366
$v$ -- $u_1:u_2$ | $c_{1}$,0.28958770632743835,0.0,0.019342105263157897
$a$ -- $u_1:u_2$ | $c_{1}$,0.2327423095703125,0.0,0.01802631578947368
$z$ -- $u_1:u_2$ | $c_{1}$,0.24451090395450592,0.0,0.012631578947368383
