,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10150319337844849,0.8419088125228882,0.024342105263157894
$a$,0.059894442558288574,0.9532516598701477,0.008157894736842121
$z$,0.07951188832521439,0.9386231899261475,0.01815789473684211
$\tau$,0.06773432344198227,0.9643275141716003,0.0163157894736842
$v$ -- $u_1$ | $c_{1}$,0.09892736375331879,0.8572372794151306,0.00644736842105257
$a$ -- $u_1$ | $c_{1}$,0.0535980686545372,0.9806495904922485,0.017368421052631602
$z$ -- $u_1$ | $c_{1}$,0.07193633913993835,0.9448965787887573,0.030263157894736853
$v$ -- $u_2$ | $c_{1}$,0.10799296200275421,0.854386568069458,0.009736842105263169
$a$ -- $u_2$ | $c_{1}$,0.05781169980764389,0.9743226170539856,0.015000000000000013
$z$ -- $u_2$ | $c_{1}$,0.0734451562166214,0.9440144896507263,0.03710526315789478
