,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1148892343044281,0.8489364385604858,0.0476315789473684
$a$,0.06935541331768036,0.9511198401451111,0.025526315789473647
$z$,0.06860609352588654,0.9492645263671875,0.01657894736842104
$\tau$,0.060554131865501404,0.9631075859069824,0.03197368421052632
$s_v$,0.2426949143409729,0.3046647012233734,0.010526315789473717
$s_\tau$,0.07203194499015808,0.9686844348907471,0.027499999999999997
$v$ -- $u_1$ | $c_{1}$,0.13938260078430176,0.8129093647003174,0.006710526315789472
$a$ -- $u_1$ | $c_{1}$,0.05624909698963165,0.9649072885513306,0.02131578947368419
$z$ -- $u_1$ | $c_{1}$,0.07644027471542358,0.9405331015586853,0.006842105263157917
$\tau$ -- $u_1$ | $c_{1}$,0.055934689939022064,0.9904864430427551,0.0503947368421053
$s_v$ -- $u_1$ | $c_{1}$,0.22646304965019226,0.29485803842544556,0.016842105263157936
$v$ -- $u_2$ | $c_{1}$,0.10607801377773285,0.8200727105140686,0.013157894736842035
$a$ -- $u_2$ | $c_{1}$,0.056768402457237244,0.9714294672012329,0.03947368421052633
$z$ -- $u_2$ | $c_{1}$,0.07994215190410614,0.9324008226394653,0.025789473684210515
$\tau$ -- $u_2$ | $c_{1}$,0.04771267622709274,0.9893720746040344,0.023157894736842127
$v$ -- $u_1:u_2$ | $c_{1}$,0.16877897083759308,0.5820990800857544,0.012631578947368383
$a$ -- $u_1:u_2$ | $c_{1}$,0.09142857789993286,0.9329655170440674,0.019078947368421084
$z$ -- $u_1:u_2$ | $c_{1}$,0.1083054393529892,0.8624817132949829,0.03644736842105267
