,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09798025339841843,0.8669372797012329,0.04460526315789477
$a$,0.06062382459640503,0.9586361646652222,0.02092105263157895
$z$,0.07217582315206528,0.9483647346496582,0.014999999999999972
$\tau$,0.06681731343269348,0.9593254327774048,0.05026315789473687
$s_v$,0.2137030065059662,0.37740558385849,0.025921052631578984
$s_\tau$,0.06905990093946457,0.9646047353744507,0.010789473684210571
$v$ -- $u_1$ | $c_{1}$,0.11297226697206497,0.8186802864074707,0.01842105263157895
$a$ -- $u_1$ | $c_{1}$,0.060044609010219574,0.9664322733879089,0.015657894736842138
$z$ -- $u_1$ | $c_{1}$,0.07109202444553375,0.9461991786956787,0.031315789473684214
$\tau$ -- $u_1$ | $c_{1}$,0.05116105452179909,0.9907870292663574,0.024342105263157915
$s_v$ -- $u_1$ | $c_{1}$,0.228633850812912,0.3394489586353302,0.011184210526315783
$v$ -- $u_2$ | $c_{1}$,0.11745062470436096,0.8542577624320984,0.007894736842105232
$a$ -- $u_2$ | $c_{1}$,0.06202061474323273,0.9688090085983276,0.01657894736842104
$z$ -- $u_2$ | $c_{1}$,0.07382352650165558,0.9319740533828735,0.009210526315789502
$\tau$ -- $u_2$ | $c_{1}$,0.038123518228530884,0.9914852976799011,0.04657894736842111
$v$ -- $u_1:u_2$ | $c_{1}$,0.18309128284454346,0.637173056602478,0.01315789473684209
$a$ -- $u_1:u_2$ | $c_{1}$,0.10259439796209335,0.9208569526672363,0.013947368421052653
$z$ -- $u_1:u_2$ | $c_{1}$,0.08609550446271896,0.886111855506897,0.024736842105263224
