,NRMSE,Posterior Contraction,Calibration Error
$v$,0.11774587631225586,0.7854835987091064,0.009868421052631582
$a$,0.08572426438331604,0.9032751321792603,0.03894736842105262
$z$,0.09714509546756744,0.9045195579528809,0.02039473684210527
$\tau$,0.10699821263551712,0.8747619986534119,0.009605263157894728
$s_v$,0.22740861773490906,0.24219349026679993,0.009868421052631582
$s_\tau$,0.10932943224906921,0.7129606008529663,0.06276315789473683
$v$ -- $u_1$ | $c_{1}$,0.14718180894851685,0.7145372629165649,0.031578947368421095
$a$ -- $u_1$ | $c_{1}$,0.08685648441314697,0.9255106449127197,0.01407894736842108
$z$ -- $u_1$ | $c_{1}$,0.1004667580127716,0.8568410873413086,0.009078947368421075
$\tau$ -- $u_1$ | $c_{1}$,0.06940699368715286,0.9636306762695312,0.020657894736842125
$s_v$ -- $u_1$ | $c_{1}$,0.22887636721134186,0.17971834540367126,0.02144736842105266
$v$ -- $u_2$ | $c_{1}$,0.14308574795722961,0.7462522983551025,0.013684210526315743
$a$ -- $u_2$ | $c_{1}$,0.06947264820337296,0.9215264320373535,0.010789473684210543
$z$ -- $u_2$ | $c_{1}$,0.09641674160957336,0.8493491411209106,0.023684210526315835
$\tau$ -- $u_2$ | $c_{1}$,0.07567119598388672,0.9588722586631775,0.020657894736842097
$v$ -- $u_1:u_2$ | $c_{1}$,0.1793210357427597,0.455367773771286,0.008289473684210558
$a$ -- $u_1:u_2$ | $c_{1}$,0.15198864042758942,0.7365286350250244,0.027763157894736823
$z$ -- $u_1:u_2$ | $c_{1}$,0.1383041888475418,0.7069969773292542,0.047500000000000014
