,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1522817760705948,0.7266871929168701,0.024736842105263154
$a$,0.13174279034137726,0.8127427697181702,0.007236842105263142
$z$,0.10017505288124084,0.8482394218444824,0.010526315789473717
$\tau$,0.13390463590621948,0.6622485518455505,0.03223684210526315
$s_v$,0.19966863095760345,0.19748258590698242,0.013289473684210573
$s_\tau$,0.19021962583065033,0.3260711133480072,0.03342105263157896
$v$ -- $u_1$ | $c_{1}$,0.18976670503616333,0.5004497766494751,0.023552631578947377
$a$ -- $u_1$ | $c_{1}$,0.1312994658946991,0.692470908164978,0.02631578947368421
$z$ -- $u_1$ | $c_{1}$,0.1604592353105545,0.6370105743408203,0.009210526315789488
$\tau$ -- $u_1$ | $c_{1}$,0.13144177198410034,0.7133119106292725,0.045921052631578946
$s_v$ -- $u_1$ | $c_{1}$,0.2269451916217804,0.0,0.024210526315789432
$v$ -- $u_2$ | $c_{1}$,0.18975016474723816,0.3750809133052826,0.037368421052631606
$a$ -- $u_2$ | $c_{1}$,0.19420193135738373,0.43993493914604187,0.009078947368421048
$z$ -- $u_2$ | $c_{1}$,0.20006361603736877,0.47588562965393066,0.02092105263157895
$\tau$ -- $u_2$ | $c_{1}$,0.1843472719192505,0.40858376026153564,0.06486842105263158
$v$ -- $u_1:u_2$ | $c_{1}$,0.2526912987232208,0.14466148614883423,0.008947368421052662
$a$ -- $u_1:u_2$ | $c_{1}$,0.24662445485591888,0.22398898005485535,0.01789473684210524
$z$ -- $u_1:u_2$ | $c_{1}$,0.2144794762134552,0.3091522455215454,0.0293421052631579
