,NRMSE,Posterior Contraction,Calibration Error
$v$,0.06554433465682072,0.940025003808185,0.009473684210526315
$v_\theta$,0.06365095362723562,0.9581166214336134,0.03065789473684211
$a$,0.03657304392993718,0.9845718100675216,0.016842105263157908
$\tau$,0.03311554248601856,0.9935908258736919,0.03263157894736846
$s_v$,0.2141088616248279,0.32743119269355087,0.0243421052631579
$s_\tau$,0.060402287407371,0.9795594774288694,0.02223684210526311
$v$ -- $u_1$ | $c_{1}$,0.07879732420124072,0.9641045397646246,0.027500000000000024
$a$ -- $u_1$ | $c_{1}$,0.019443219272582267,0.9950700552317291,0.030131578947368412
$v$ -- $u_2$ | $c_{1}$,0.07299283313083868,0.964800925816961,0.021315789473684232
$a$ -- $u_2$ | $c_{1}$,0.02094130725309079,0.9955455239907806,0.023684210526315808
