,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08744878448671141,0.9020873882491083,0.014342105263157934
$a$,0.039467668343629886,0.972080913048928,0.030789473684210505
$z$,0.06701451284843196,0.9500890277459297,0.016184210526315784
$\tau$,0.05059074572544124,0.9875049826350693,0.03
$v$ -- $u_1$ | $c_{1}$,0.09430361134442176,0.918391864300041,0.013421052631578945
$a$ -- $u_1$ | $c_{1}$,0.03442708915178637,0.9915777503417935,0.02144736842105266
$z$ -- $u_1$ | $c_{1}$,0.048568346279930924,0.9710157383097837,0.02934210526315789
$v$ -- $u_2$ | $c_{1}$,0.09297703895891991,0.9083131858213427,0.03618421052631579
$a$ -- $u_2$ | $c_{1}$,0.03522385838934244,0.9886124351940284,0.011710526315789449
$z$ -- $u_2$ | $c_{1}$,0.058744306059950784,0.9610860233942686,0.024605263157894713
