,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.09237035051236009,0.8496216198950532,0.02236842105263155,3.9702825245443596
$a$,0.07016671667176654,0.9501790243121999,0.017368421052631616,3.292853141590858
$z$,0.07205487488947969,0.9476713656361111,0.017236842105263106,2.1843552359633778
$\tau$,0.07044433765934427,0.9517400165439479,0.012631578947368438,1.3215441529058407
$s_v$,0.20295186661608092,0.3696532516239564,0.015263157894736867,2.716372607384374
$s_\tau$,0.1162865556740594,0.8030559489884836,0.009473684210526329,3.9875369795211997
$v$ -- $u_1$ | $c_{1}$,0.11622526288671786,0.8457466207227435,0.013421052631578945,2.962174958325778
$a$ -- $u_1$ | $c_{1}$,0.06142985229821475,0.9686310487571812,0.020263157894736816,3.50411752143945
$z$ -- $u_1$ | $c_{1}$,0.07892831609426432,0.9287448693763993,0.006315789473684219,2.808715313932122
$\tau$ -- $u_1$ | $c_{1}$,0.05214949188283419,0.9798606364354848,0.047631578947368414,1.6462733541176189
$s_v$ -- $u_1$ | $c_{1}$,0.21320999322522688,0.3714696326778882,0.012368421052631588,3.7197163685194767
$s_\tau$ -- $u_1$ | $c_{1}$,0.09936280665470629,0.9093599905497123,0.025394736842105303,3.2450668065477397
$v$ -- $u_2$ | $c_{1}$,0.1111379983751064,0.8243258880638593,0.02355263157894741,1.9880538864823816
$a$ -- $u_2$ | $c_{1}$,0.06426051833084068,0.967948962704793,0.013026315789473695,0.6811938360970767
$z$ -- $u_2$ | $c_{1}$,0.08368655210864084,0.945454061301096,0.026052631578947355,2.5848537589586056
$\tau$ -- $u_2$ | $c_{1}$,0.056405890805158954,0.978596800335962,0.0223684210526316,3.1632362188233487
$s_v$ -- $u_2$ | $c_{1}$,0.17071689048207553,0.3811615244725004,0.020921052631579007,2.7019502776294746
$s_\tau$ -- $u_2$ | $c_{1}$,0.12968445184629807,0.8846841540078556,0.013947368421052628,-0.6390029762053436
$v$ -- $u_1:u_2$ | $c_{1}$,0.16061883126234233,0.6482806264175681,0.016842105263157936,0.6811938360970767
$a$ -- $u_1:u_2$ | $c_{1}$,0.09715395421977396,0.9134223178570273,0.024342105263157925,2.0809807814465504
$z$ -- $u_1:u_2$ | $c_{1}$,0.0970055046205957,0.8884580470754909,0.00697368421052633,3.950759081344823
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.07623440895204911,0.9650366843568827,0.02092105263157895,3.3401490141391235
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.2383641132801128,0.24313849030618795,0.021315789473684232,2.8865262299596406
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.1346651465655032,0.8666734344624212,0.01473684210526316,3.2450668065477513
