,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09383458494864372,0.8644197822181432,0.02881578947368421
$a$,0.06588926539457005,0.9525053675217108,0.03013157894736844
$z$,0.05871713504523526,0.9616307489064935,0.021710526315789458
$\tau$,0.055464271793438005,0.9689660644812901,0.04263157894736841
$s_v$,0.18553098283700165,0.3952975995239654,0.02368421052631579
$s_\tau$,0.07167511562081236,0.9700577191717377,0.0485526315789474
$v$ -- $u_1$ | $c_{1}$,0.12568018636709627,0.8070505109539294,0.012631578947368452
$a$ -- $u_1$ | $c_{1}$,0.06010985216226003,0.9754952184974954,0.0135526315789474
$z$ -- $u_1$ | $c_{1}$,0.06428795622672896,0.9496090622793711,0.008947368421052648
$\tau$ -- $u_1$ | $c_{1}$,0.03133465587760275,0.9920753778478497,0.06263157894736843
$s_v$ -- $u_1$ | $c_{1}$,0.21776202710354853,0.32787989570139997,0.02210526315789474
$v$ -- $u_2$ | $c_{1}$,0.10194332631502254,0.8972997865132586,0.01302631578947372
$a$ -- $u_2$ | $c_{1}$,0.04618387735332307,0.9782322038029996,0.022894736842105218
$z$ -- $u_2$ | $c_{1}$,0.06400683215537484,0.9528437215629091,0.02460526315789477
$\tau$ -- $u_2$ | $c_{1}$,0.034581859417439506,0.9916884606642369,0.024210526315789474
$v$ -- $u_1:u_2$ | $c_{1}$,0.11227367798765908,0.7852710325483792,0.020000000000000046
$a$ -- $u_1:u_2$ | $c_{1}$,0.07985532702835987,0.9505236478492132,0.012763157894736865
$z$ -- $u_1:u_2$ | $c_{1}$,0.08469835040703344,0.9214706447548169,0.017500000000000016
