,NRMSE,Posterior Contraction,Calibration Error
$v$,0.2054433124201481,0.4764889972677028,0.005921052631578938
$v_{\mathrm{diff}}$,0.13146701289695503,0.6894884898626596,0.01815789473684204
$a$,0.0976934397128181,0.831599266163574,0.014736842105263163
$\tau$,0.058277037780895005,0.9527536373327089,0.011184210526315796
$s_v$,0.25143510552137877,0.20640458073402074,0.017368421052631602
$s_\tau$,0.06859619902831784,0.9340303230211072,0.010526315789473665
$v$ -- $u_1$ | $c_{1}$,0.17274740955611534,0.7229054657552063,0.022631578947368447
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.11664539654781642,0.8346511598638904,0.011973684210526334
$a$ -- $u_1$ | $c_{1}$,0.07575395253649629,0.9356068445179213,0.028026315789473677
$\tau$ -- $u_1$ | $c_{1}$,0.04369136744042957,0.9895863143920229,0.023157894736842127
$s_v$ -- $u_1$ | $c_{1}$,0.22219046221595062,0.37058299658413396,0.004473684210526317
$v$ -- $u_2$ | $c_{1}$,0.15023837254594707,0.7276546187680388,0.033815789473684216
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.1397659977606691,0.7789201416145246,0.010000000000000009
$a$ -- $u_2$ | $c_{1}$,0.07013376282456946,0.9490648671545463,0.022763157894736843
$\tau$ -- $u_2$ | $c_{1}$,0.04309019127862479,0.9885249646685673,0.059342105263157835
$v$ -- $u_1:u_2$ | $c_{1}$,0.16093906296916505,0.6128937128724289,0.016578947368421054
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.150895174153003,0.7323626954649923,0.011315789473684223
$a$ -- $u_1:u_2$ | $c_{1}$,0.07151317572938197,0.9351766421947758,0.03697368421052631
