,NRMSE,Posterior Contraction,Calibration Error
$v$,0.15336674090838548,0.787268359252072,0.135
$v_{\mathrm{diff}}$,0.12771541041693443,0.770810560176557,0.037500000000000006
$a$,0.10164031087005085,0.9271072800883098,0.23447368421052633
$\tau$,0.09326640851949779,0.9878219681246334,0.26750000000000007
$s_v$,0.21512997646946802,0.2832442344811359,0.013026315789473691
$s_\tau$,0.12222903960539228,0.9570005694577224,0.13697368421052636
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.09156058867275499,0.9201586759541528,0.09513157894736846
$a$ -- $u_1$ | $c_{1}$,0.028096207202751536,0.9928625345253381,0.11736842105263162
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.09277179229348391,0.9178805886765266,0.07671052631578953
$a$ -- $u_2$ | $c_{1}$,0.033938630811710946,0.9924032769692044,0.15526315789473688
