,NRMSE,Posterior Contraction,Calibration Error
$v$,0.0858454778790474,0.9192233681678772,0.01671052631578948
$v_\theta$,0.1242109164595604,0.7766985893249512,0.017500000000000043
$a$,0.04713142290711403,0.9601715803146362,0.01815789473684211
$\tau$,0.06218905746936798,0.9612991809844971,0.05131578947368426
$s_v$,0.23085840046405792,0.1575472056865692,0.006184210526315764
$s_\tau$,0.10879148542881012,0.8940496444702148,0.01460526315789476
$v$ -- $u_1$ | $c_{1}$,0.11505188047885895,0.8676930665969849,0.017631578947368425
$v_\theta$ -- $u_1$ | $c_{1}$,0.11280668526887894,0.8728475570678711,0.009868421052631637
$a$ -- $u_1$ | $c_{1}$,0.055547792464494705,0.9724905490875244,0.020657894736842135
$\tau$ -- $u_1$ | $c_{1}$,0.04084228724241257,0.9896512627601624,0.02421052631578947
$s_v$ -- $u_1$ | $c_{1}$,0.19033023715019226,0.354849249124527,0.017631578947368443
$v$ -- $u_2$ | $c_{1}$,0.09925484657287598,0.8945817947387695,0.02631578947368421
$v_\theta$ -- $u_2$ | $c_{1}$,0.1308387964963913,0.8549048900604248,0.019736842105263136
$a$ -- $u_2$ | $c_{1}$,0.049916137009859085,0.9758966565132141,0.03421052631578947
$\tau$ -- $u_2$ | $c_{1}$,0.050844836980104446,0.9890314340591431,0.05381578947368426
$v$ -- $u_1:u_2$ | $c_{1}$,0.14573875069618225,0.7497320771217346,0.021710526315789458
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.1646987944841385,0.6676357984542847,0.03592105263157894
$a$ -- $u_1:u_2$ | $c_{1}$,0.07301054894924164,0.952835202217102,0.03578947368421054
