,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09449417144060135,0.8953454494476318,0.05092105263157898
$a$,0.04749218374490738,0.9634782075881958,0.024999999999999994
$z$,0.07427634298801422,0.9420125484466553,0.011578947368421067
$\tau$,0.05729386955499649,0.9779075384140015,0.01763157894736842
$v$ -- $u_1$ | $c_{1}$,0.10384061932563782,0.8872420191764832,0.02789473684210525
$a$ -- $u_1$ | $c_{1}$,0.042992256581783295,0.9875768423080444,0.029210526315789465
$z$ -- $u_1$ | $c_{1}$,0.05670874938368797,0.9568421840667725,0.037368421052631565
$v$ -- $u_2$ | $c_{1}$,0.10246965289115906,0.8817495703697205,0.036315789473684246
$a$ -- $u_2$ | $c_{1}$,0.043933168053627014,0.9828764796257019,0.03210526315789472
$z$ -- $u_2$ | $c_{1}$,0.06868046522140503,0.9443621635437012,0.028289473684210475
