,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10119668394327164,0.8457583785057068,0.02618421052631581
$a$,0.07611055672168732,0.949659526348114,0.005921052631578964
$z$,0.06602901220321655,0.9463112354278564,0.014342105263157906
$\tau$,0.0762220099568367,0.937797486782074,0.0325
$s_v$,0.2058403491973877,0.36089444160461426,0.0127631578947368
$s_\tau$,0.06802776455879211,0.931187093257904,0.015263157894736826
$v$ -- $u_1$ | $c_{1}$,0.13422024250030518,0.8146698474884033,0.033157894736842136
$a$ -- $u_1$ | $c_{1}$,0.0572708398103714,0.9630570411682129,0.01657894736842104
$z$ -- $u_1$ | $c_{1}$,0.06994529068470001,0.9234035015106201,0.018684210526315803
$\tau$ -- $u_1$ | $c_{1}$,0.05602186918258667,0.986669659614563,0.029736842105263186
$s_v$ -- $u_1$ | $c_{1}$,0.24373547732830048,0.2738005816936493,0.028026315789473677
$v$ -- $u_2$ | $c_{1}$,0.12342327833175659,0.8402495980262756,0.015263157894736812
$a$ -- $u_2$ | $c_{1}$,0.06697892397642136,0.9616191387176514,0.013289473684210462
$z$ -- $u_2$ | $c_{1}$,0.07461562752723694,0.9268475770950317,0.024342105263157943
$\tau$ -- $u_2$ | $c_{1}$,0.04529785364866257,0.9880831837654114,0.02342105263157898
$v$ -- $u_1:u_2$ | $c_{1}$,0.14711043238639832,0.5964291095733643,0.017500000000000043
$a$ -- $u_1:u_2$ | $c_{1}$,0.10894837230443954,0.8945648670196533,0.008157894736842142
$z$ -- $u_1:u_2$ | $c_{1}$,0.1171780601143837,0.831707239151001,0.015526315789473721
