,NRMSE,Posterior Contraction,Calibration Error
$v$,0.21184810996055603,0.9173842072486877,0.22894736842105268
$v_\theta$,0.3050774335861206,0.40868404507637024,0.12500000000000006
$a$,0.050222158432006836,0.961866021156311,0.019210526315789483
$\tau$,0.04850110411643982,0.9835319519042969,0.016842105263157936
$s_v$,0.27254050970077515,0.03221979737281799,0.02157894736842106
$s_\tau$,0.08403990417718887,0.9216241836547852,0.075921052631579
$v_\theta$ -- $u_1$ | $c_{1}$,0.2882840037345886,0.554654598236084,0.23250000000000004
$a$ -- $u_1$ | $c_{1}$,0.0354800745844841,0.9915094375610352,0.026973684210526316
$v_\theta$ -- $u_2$ | $c_{1}$,0.23614263534545898,0.6698564291000366,0.23789473684210527
$a$ -- $u_2$ | $c_{1}$,0.04595090076327324,0.9903020858764648,0.013552631578947361
