,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10554727911949158,0.8450884819030762,0.022763157894736846
$a$,0.06710387766361237,0.9458152651786804,0.028289473684210475
$z$,0.05625920742750168,0.9568852186203003,0.06
$\tau$,0.03989468887448311,0.9831377267837524,0.015657894736842107
$s_v$,0.21135836839675903,0.369461327791214,0.011447368421052623
$s_\tau$,0.08382584154605865,0.9350034594535828,0.06723684210526312
$v$ -- $u_1$ | $c_{1}$,0.11251820623874664,0.855310320854187,0.025131578947368394
$a$ -- $u_1$ | $c_{1}$,0.059201911091804504,0.9765971899032593,0.04539473684210524
$z$ -- $u_1$ | $c_{1}$,0.0695815235376358,0.9541247487068176,0.011447368421052595
$v$ -- $u_2$ | $c_{1}$,0.08963348716497421,0.8905603885650635,0.02631578947368418
$a$ -- $u_2$ | $c_{1}$,0.06115863844752312,0.9785239696502686,0.020131578947368417
$z$ -- $u_2$ | $c_{1}$,0.05567483231425285,0.9414902925491333,0.03171052631578941
