,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.16116228699684143,0.32898032665252686,0.014210526315789507,3.0571890474272516
$v_{\mathrm{diff}}$,0.15601423382759094,0.6100125908851624,0.011578947368421078,2.1525326128841344
$a$,0.13606566190719604,0.7464593052864075,0.012631578947368452,2.3054750952430565
$\tau$,0.0720476359128952,0.9309431314468384,0.0532894736842105,-0.22673707332460236
$s_v$,0.22575867176055908,0.18094122409820557,0.013684210526315799,4.231206202562234
$s_\tau$,0.16759519279003143,0.6733019351959229,0.01960526315789468,3.0639644545616456
$v$ -- $u_1$ | $c_{1}$,0.1794305145740509,0.547087550163269,0.021842105263157913,3.3708262427799687
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.13704060018062592,0.752290666103363,0.0192105263157894,3.120795773972323
$a$ -- $u_1$ | $c_{1}$,0.10642123222351074,0.8898729085922241,0.014736842105263215,2.0224066890335783
$\tau$ -- $u_1$ | $c_{1}$,0.06065446138381958,0.9710500240325928,0.03328947368421052,1.8749604644498357
$s_v$ -- $u_1$ | $c_{1}$,0.19084274768829346,0.3089717626571655,0.016052631578947374,3.889398736174066
$s_\tau$ -- $u_1$ | $c_{1}$,0.14781446754932404,0.7463529706001282,0.01447368421052625,4.016272279622833
$v$ -- $u_2$ | $c_{1}$,0.15602514147758484,0.5284227728843689,0.011184210526315824,1.5721398837394136
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.13013112545013428,0.7162379622459412,0.03657894736842106,0.41663236473043247
$a$ -- $u_2$ | $c_{1}$,0.10628271102905273,0.8292280435562134,0.021710526315789513,3.3048638692763643
$\tau$ -- $u_2$ | $c_{1}$,0.05367182195186615,0.9746747016906738,0.01749999999999996,3.6252373807191427
$s_v$ -- $u_2$ | $c_{1}$,0.20423096418380737,0.3813566267490387,0.01934210526315787,2.987699461707317
$s_\tau$ -- $u_2$ | $c_{1}$,0.15902572870254517,0.7218022346496582,0.027105263157894684,1.8362671507732282
$v$ -- $u_1:u_2$ | $c_{1}$,0.19148409366607666,0.37467554211616516,0.01736842105263156,4.280265693955556
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.17812007665634155,0.49842801690101624,0.011973684210526317,3.824735067282525
$a$ -- $u_1:u_2$ | $c_{1}$,0.13440421223640442,0.7727552652359009,0.007894736842105288,4.450654027551751
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.07244355976581573,0.9379494190216064,0.012368421052631473,3.0796968697084552
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.23611652851104736,0.22154948115348816,0.011315789473684223,4.019643341422262
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.20913562178611755,0.4558399021625519,0.01513157894736844,2.693004648103688
