,NRMSE,Posterior Contraction,Calibration Error
$v$,0.21428468823432922,0.3912452161312103,0.007763157894736805
$v_{\mathrm{diff}}$,0.14348283410072327,0.619851291179657,0.016315789473684172
$a$,0.11036520451307297,0.7842558026313782,0.02684210526315789
$\tau$,0.06766034662723541,0.9406746625900269,0.03697368421052638
$s_v$,0.25391000509262085,0.14928081631660461,0.018289473684210578
$s_\tau$,0.08268603682518005,0.8767713308334351,0.02118421052631575
$v$ -- $u_1$ | $c_{1}$,0.19189849495887756,0.5839412212371826,0.018684210526315748
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.12656641006469727,0.7757392525672913,0.04210526315789467
$a$ -- $u_1$ | $c_{1}$,0.08908294141292572,0.899415135383606,0.014210526315789465
$\tau$ -- $u_1$ | $c_{1}$,0.05235423892736435,0.9885299205780029,0.016447368421052655
$s_v$ -- $u_1$ | $c_{1}$,0.23603826761245728,0.246361643075943,0.009210526315789447
$v$ -- $u_2$ | $c_{1}$,0.17117029428482056,0.5799345970153809,0.0643421052631579
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.1548631489276886,0.7116906046867371,0.024342105263157915
$a$ -- $u_2$ | $c_{1}$,0.09091310203075409,0.9109224677085876,0.02921052631578941
$\tau$ -- $u_2$ | $c_{1}$,0.051921144127845764,0.9852750301361084,0.010789473684210543
$v$ -- $u_1:u_2$ | $c_{1}$,0.1896335780620575,0.46981117129325867,0.01144736842105265
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.16747012734413147,0.6383048892021179,0.017631578947368425
$a$ -- $u_1:u_2$ | $c_{1}$,0.09986233711242676,0.9090913534164429,0.11671052631578949
