,NRMSE,Posterior Contraction,Calibration Error
$v$,0.13815096020698547,0.6966033577919006,0.04513157894736841
$v_{\mathrm{diff}}$,0.1400807648897171,0.6866525411605835,0.018815789473684175
$a$,0.0743992030620575,0.8831602931022644,0.007500000000000034
$\tau$,0.04026089981198311,0.9841495156288147,0.013552631578947386
$s_v$,0.22017309069633484,0.18776559829711914,0.03736842105263155
$s_\tau$,0.11065211147069931,0.8982290029525757,0.0351315789473684
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.09699469804763794,0.8731047511100769,0.016184210526315745
$a$ -- $u_1$ | $c_{1}$,0.027821432799100876,0.9873623251914978,0.040789473684210514
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.10070319473743439,0.8721494674682617,0.024473684210526328
$a$ -- $u_2$ | $c_{1}$,0.034816086292266846,0.9877098798751831,0.009342105263157874
