,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09380020201206207,0.8473416566848755,0.014605263157894732
$a$,0.06507065892219543,0.9456033706665039,0.02539473684210522
$z$,0.058319058269262314,0.9544849395751953,0.0488157894736842
$\tau$,0.046339064836502075,0.9828908443450928,0.03736842105263159
$s_v$,0.19686125218868256,0.33126702904701233,0.01078947368421053
$s_\tau$,0.07849730551242828,0.9505317807197571,0.025263157894736835
$v$ -- $u_1$ | $c_{1}$,0.10390770435333252,0.8732643127441406,0.019868421052631563
$a$ -- $u_1$ | $c_{1}$,0.06111794710159302,0.9780523777008057,0.014342105263157878
$z$ -- $u_1$ | $c_{1}$,0.06107305735349655,0.946527361869812,0.030789473684210505
$v$ -- $u_2$ | $c_{1}$,0.09392928332090378,0.8735025525093079,0.06644736842105267
$a$ -- $u_2$ | $c_{1}$,0.054725296795368195,0.9722044467926025,0.03605263157894739
$z$ -- $u_2$ | $c_{1}$,0.06771393120288849,0.9498566389083862,0.035921052631578965
