,NRMSE,Posterior Contraction,Calibration Error
$v$,0.22869935631752014,0.4872620105743408,0.04394736842105264
$v_{\mathrm{diff}}$,0.15065589547157288,0.6803148984909058,0.02197368421052631
$a$,0.10273803770542145,0.8044373989105225,0.01776315789473687
$\tau$,0.057331688702106476,0.9537814855575562,0.010263157894736863
$s_v$,0.1673123836517334,0.2743316888809204,0.013684210526315799
$s_\tau$,0.08855028450489044,0.9081072807312012,0.04539473684210529
$v$ -- $u_1$ | $c_{1}$,0.15070295333862305,0.7042539119720459,0.02552631578947373
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.11752839386463165,0.8277460336685181,0.010526315789473661
$a$ -- $u_1$ | $c_{1}$,0.08533314615488052,0.9105126857757568,0.03223684210526312
$\tau$ -- $u_1$ | $c_{1}$,0.04057951271533966,0.987023115158081,0.023684210526315808
$s_v$ -- $u_1$ | $c_{1}$,0.191430926322937,0.3460083305835724,0.016315789473684228
$v$ -- $u_2$ | $c_{1}$,0.17957645654678345,0.6517786979675293,0.029078947368421072
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.132002055644989,0.8036022186279297,0.025131578947368394
$a$ -- $u_2$ | $c_{1}$,0.09414446353912354,0.9162638187408447,0.026578947368421035
$\tau$ -- $u_2$ | $c_{1}$,0.05210644006729126,0.9862878322601318,0.020131578947368445
$v$ -- $u_1:u_2$ | $c_{1}$,0.2227940559387207,0.396699458360672,0.008684210526315794
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.14532534778118134,0.6654372811317444,0.027368421052631597
$a$ -- $u_1:u_2$ | $c_{1}$,0.10597584396600723,0.8888038396835327,0.08684210526315793
