,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1278809905052185,0.7481386661529541,0.019078947368421043
$v_{\mathrm{diff}}$,0.13084548711776733,0.76407390832901,0.05157894736842111
$a$,0.06810760498046875,0.9100242853164673,0.016973684210526307
$\tau$,0.03543541580438614,0.9873477220535278,0.013684210526315743
$s_v$,0.21788662672042847,0.21084526181221008,0.013289473684210518
$s_\tau$,0.10602666437625885,0.9327744841575623,0.01710526315789468
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.08627814054489136,0.914688229560852,0.02618421052631581
$a$ -- $u_1$ | $c_{1}$,0.025294631719589233,0.9915741682052612,0.01671052631578948
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.0951603353023529,0.90733802318573,0.031973684210526335
$a$ -- $u_2$ | $c_{1}$,0.031189091503620148,0.9910423755645752,0.03276315789473688
