id,speed_condition,difficulty,resp_deviation,rt
1,0,3,-0.26955,1.2595
1,0,2,0.16484,0.86939
1,0,1,-0.15329,0.8009
1,0,2,0.079275,1.0019
1,0,1,0.0036187,2.364
1,0,3,-0.62848,1.0521
1,0,2,0.19988,1.053
1,0,2,0.88469,2.3029
1,0,2,-0.062807,0.88762
1,0,3,-0.32651,0.94328
1,0,3,0.72711,1.2994
1,0,1,0.064997,0.83046
1,0,1,-0.093198,0.76012
1,0,1,-0.27316,0.92477
1,0,1,0.049746,1.0294
1,0,1,0.094181,0.96602
1,0,2,-0.21549,1.091
1,0,1,-0.011638,0.72233
1,0,3,0.047528,0.89741
1,0,2,0.13111,0.80081
1,0,1,0.11865,0.69319
1,0,3,-0.64701,0.88181
1,0,3,0.58311,0.92763
1,0,1,-0.11628,0.84309
1,0,2,0.11568,1.1492
1,0,2,-0.17985,1.1168
1,0,3,0.26182,1.4275
1,0,2,-0.19704,1.0922
1,0,3,-0.72385,1.1208
1,0,3,-0.43072,1.7964
1,1,3,-0.36965,0.80825
1,1,3,-0.12169,0.54978
1,1,1,0.0090484,0.534
1,1,3,-0.52937,0.67777
1,1,1,0.01438,0.52983
1,1,1,-0.046911,0.52596
1,1,3,-0.5073,0.61252
1,1,3,-0.53957,0.6136
1,1,2,0.11281,0.60186
1,1,1,-0.15697,0.5176
1,1,2,-0.015959,0.65095
1,1,2,-0.056143,0.67273
1,1,2,0.70644,0.60214
1,1,3,-0.25887,0.67163
1,1,1,0.031373,0.51689
1,1,3,-0.3638,0.84933
1,1,2,0.06063,1.1763
1,1,2,0.22631,0.55891
1,1,2,-0.013788,0.70509
1,1,1,0.099318,0.69624
1,1,1,0.12554,0.57531
1,1,1,0.035566,0.66634
1,1,3,0.36914,0.63089
1,1,2,-0.26404,0.61821
1,1,1,0.018514,0.64379
1,1,2,0.35776,0.76403
1,1,2,0.073075,0.64741
1,1,3,-0.1577,0.68394
1,1,1,0.066748,0.68297
1,1,3,0.85457,0.60664
1,0,3,0.17666,0.73904
1,0,3,-0.43518,0.79204
1,0,1,0.022048,0.76228
